S.No.,Category,Product Name,Description,Quantity,Original Price (MRP),Selling Price,Image URL
1,Fruits,Nendran Banana,"Premier Kerala plantain banana, locally known as Nendrapazham (നേന്ത്രപ്പഴം); versatile staple eaten fresh or cooked in traditional snacks. Search terms: nendran, nendrapazham, ethapazham.",500 g / 1 kg / Per piece,0,0,https://images.unsplash.com/photo-1571771894821-ce9b6c11b08e?w=500&auto=format&fit=crop&q=80
2,Fruits,Chengalikodan Nendran Banana,"Geographical Indication (GI) tagged specialty banana from Thrissur, Kerala; prized for its golden skin, rich aroma, and festive Onam offerings. Search terms: chengalikodan, chengazhikodan, nendran.",1 kg / Per piece,0,0,https://images.unsplash.com/photo-1571771894821-ce9b6c11b08e?w=500&auto=format&fit=crop&q=80
3,Fruits,Palayankodan Banana,"Most ubiquitous daily table banana in Kerala, known as Palayankodan (പാളയംകോടൻ) or Mysore Poovan; sweet, mildly tangy flavor. Search terms: palayankodan, palayamkodan, mysore poovan.",500 g / 1 kg / Per piece,0,0,https://images.unsplash.com/photo-1571771894821-ce9b6c11b08e?w=500&auto=format&fit=crop&q=80
4,Fruits,Poovan Banana,"Traditional sweet dessert banana with thin yellow skin, locally known as Poovan Pazham (പൂവൻ പഴം); soft textured and fragrant. Search terms: poovan, cherupazham, poovan pazham.",500 g / 1 kg / Per piece,0,0,https://images.unsplash.com/photo-1571771894821-ce9b6c11b08e?w=500&auto=format&fit=crop&q=80
5,Fruits,Njalipoovan Banana,"Small, aromatic specialty banana with paper-thin peel and intensely sweet pulp, locally called Njalipoovan (ഞാലിപ്പൂവൻ) or Neypoovan. Search terms: njalipoovan, neypoovan, elakki.",500 g / 1 kg,0,0,https://images.unsplash.com/photo-1571771894821-ce9b6c11b08e?w=500&auto=format&fit=crop&q=80
6,Fruits,Red Banana (Chenkadali),"Nutrient-rich red-skinned banana with creamy pinkish pulp, known in Kerala as Chenkadali (ചെങ്കദളി) or Kappa Pazham. Search terms: red banana, chenkadali, kappapazham, kappa vazha.",500 g / 1 kg / Per piece,0,0,https://images.unsplash.com/photo-1528825871115-3581a5387919?w=500&auto=format&fit=crop&q=80
7,Fruits,Robusta Banana,"Large green-skinned commercial dessert banana with mild sweetness, known as Robusta (റോബസ്റ്റ) or Pacha Pazham across Kerala. Search terms: robusta, pachapazham, cavendish.",500 g / 1 kg / Per piece,0,0,https://images.unsplash.com/photo-1571771894821-ce9b6c11b08e?w=500&auto=format&fit=crop&q=80
8,Fruits,Rasthali Banana,"Fragrant, royal table banana with silken white flesh, known locally as Rasthali (രസ്താലി); highly valued for festive meals and functions. Search terms: rasthali, malbhog, amrutapani.",500 g / 1 kg,0,0,https://images.unsplash.com/photo-1571771894821-ce9b6c11b08e?w=500&auto=format&fit=crop&q=80
9,Fruits,Karpuravalli Banana,"Distinct sweet banana with ash-coated peel and honeyed taste, known as Karpuravalli (കർപ്പൂരവള്ളി); popular in homesteads. Search terms: karpuravalli, karpoora valli.",500 g / 1 kg,0,0,https://images.unsplash.com/photo-1571771894821-ce9b6c11b08e?w=500&auto=format&fit=crop&q=80
10,Fruits,Grand Naine Banana,"High-yielding tissue-culture table banana with uniform fingers and sweet taste, popular in modern Kerala fruit markets. Search terms: grand naine, g9 banana, premium robusta.",1 kg / 2 kg,0,0,https://images.unsplash.com/photo-1571771894821-ce9b6c11b08e?w=500&auto=format&fit=crop&q=80
11,Fruits,Kannan Banana,"Indigenous small Kerala banana, known as Kannan Pazham (കണ്ണൻ പഴം); traditionally steamed or powdered as wholesome baby nutrition. Search terms: kannan, kannan pazham, kunnan.",500 g / 1 kg,0,0,https://images.unsplash.com/photo-1571771894821-ce9b6c11b08e?w=500&auto=format&fit=crop&q=80
12,Fruits,Kadali Banana,"Sacred small golden banana cultivated extensively for Kerala temple offerings (nivedyam) and dessert, known as Kadali (കദളിപ്പഴം). Search terms: kadali, kadali pazham, pooja vazha.",500 g / 1 kg / Per piece,0,0,https://images.unsplash.com/photo-1571771894821-ce9b6c11b08e?w=500&auto=format&fit=crop&q=80
13,Fruits,Monthan Banana,"Stout, culinary banana variety known as Monthan (മൊന്തൻ കായ); prized for making savory side dishes, upperi, and erissery. Search terms: monthan, monthankaya, cooking banana.",1 kg / Per piece,0,0,https://images.unsplash.com/photo-1528825871115-3581a5387919?w=500&auto=format&fit=crop&q=80
14,Fruits,Padatti Banana,"Heritage Kerala banana variety, known as Padatti (പടറ്റി / പടത്തിപ്പഴം); thick skin with firm, pleasant tasting interior. Search terms: padatti, padatti pazham.",500 g / 1 kg,0,0,https://images.unsplash.com/photo-1571771894821-ce9b6c11b08e?w=500&auto=format&fit=crop&q=80
15,Fruits,Raw Nendran Banana,"Unripe green Nendran plantain, known as Pacha Nendran (പച്ച നേന്ത്രക്കായ); essential raw ingredient for crispy Kerala banana chips (upperi) and curries. Search terms: pacha nendrankaya, upperi kaya, raw plantain.",500 g / 1 kg / 2 kg,0,0,https://images.unsplash.com/photo-1528825871115-3581a5387919?w=500&auto=format&fit=crop&q=80
