S.No.,Category,Product Name,Description,Quantity,Original Price (MRP),Selling Price,Image URL
1,Bakery,Achappam (Rose Cookies),"Achappam (Rose Cookies) for everyday cooking, dining, and household needs.",100g / 200g / 250g / 500g,,,
2,Bakery,Banana Fry (Pazham Pori),"Banana Fry (Pazham Pori) for everyday cooking, dining, and household needs.",1pc / 2pcs / 4pcs,,,
3,Bakery,Black Forest Cake,"Black Forest Cake for everyday cooking, dining, and household needs.",250g / 500g / 1kg,,,
4,Bakery,Burger Bun,"Burger Bun for everyday cooking, dining, and household needs.",2pcs / 4pcs / 6pcs,,,
5,Bakery,Cream Bun,"Cream Bun for everyday cooking, dining, and household needs.",1pc / 2pcs / 4pcs,,,
6,Bakery,Fruit Cake,"Fruit Cake for everyday cooking, dining, and household needs.",65g / 120g / 150g / 250g / 350g / 500g,,,
7,Bakery,Hot Dog Bun,"Hot Dog Bun for everyday cooking, dining, and household needs.",2pcs / 4pcs,,,
8,Bakery,Kerala Chicken Cutlet,"Kerala Chicken Cutlet for everyday cooking, dining, and household needs.",1pc / 2pcs / 4pcs,,,
9,Bakery,Kerala Chicken Puff,"Kerala Chicken Puff for everyday cooking, dining, and household needs.",1pc / 2pcs / 4pcs / 6pcs,,,
10,Bakery,Kerala Egg Puff,"Kerala Egg Puff for everyday cooking, dining, and household needs.",1pc / 2pcs / 4pcs / 6pcs,,,
11,Bakery,Kerala Meat Cutlet (Beef),"Kerala Meat Cutlet (Beef) for everyday cooking, dining, and household needs.",1pc / 2pcs / 4pcs,,,
12,Bakery,Kerala Meat Puff (Beef),"Kerala Meat Puff (Beef) for everyday cooking, dining, and household needs.",1pc / 2pcs / 4pcs,,,
13,Bakery,Kerala Onion Samosa,"Kerala Onion Samosa for everyday cooking, dining, and household needs.",2pcs / 4pcs / 6pcs / 10pcs,,,
14,Bakery,Kerala Veg Cutlet,"Kerala Veg Cutlet for everyday cooking, dining, and household needs.",1pc / 2pcs / 4pcs,,,
15,Bakery,Kerala Veg Puff,"Kerala Veg Puff for everyday cooking, dining, and household needs.",1pc / 2pcs / 4pcs / 6pcs,,,
16,Bakery,Milk Bread,"Milk Bread for everyday cooking, dining, and household needs.",200g / 350g / 400g,,,
17,Bakery,Neyyappam,"Neyyappam for everyday cooking, dining, and household needs.",2pcs / 4pcs / 6pcs,,,
18,Bakery,Pav Bun,"Pav Bun for everyday cooking, dining, and household needs.",4pcs / 6pcs / 12pcs,,,
19,Bakery,Plum Cake,"Plum Cake for everyday cooking, dining, and household needs.",200g / 350g / 400g / 500g / 800g / 1kg,,,
20,Bakery,Sandwich Bread,"Sandwich Bread for everyday cooking, dining, and household needs.",400g / 600g / 800g,,,
21,Bakery,Sweet Bun,"Sweet Bun for everyday cooking, dining, and household needs.",1pc / 2pcs / 4pcs,,,
22,Bakery,Tea Cake,"Tea Cake for everyday cooking, dining, and household needs.",150g / 250g / 350g / 500g,,,
23,Bakery,Unniyappam,"Unniyappam for everyday cooking, dining, and household needs.",4pcs / 6pcs / 10pcs / 12pcs,,,
24,Bakery,Vattayappam,"Vattayappam for everyday cooking, dining, and household needs.",250g / 500g,,,
25,Bakery,White Bread,"White Bread for everyday cooking, dining, and household needs.",200g / 350g / 400g / 600g / 800g,,,
26,Bakery,Whole Wheat Bread,"Whole Wheat Bread for everyday cooking, dining, and household needs.",250g / 400g,,,
