S.No.,Category,Product Name,Description,Quantity,Original Price (MRP),Selling Price,Image URL
1,Biscuits & Cookies,Bourbon Cream Biscuits,"Bourbon Cream Biscuits for everyday cooking, dining, and household needs.",60g / 120g / 150g / 250g,,,
2,Biscuits & Cookies,Butter Cookies,"Butter Cookies for everyday cooking, dining, and household needs.",50g / 100g / 200g / 250g / 500g,,,
3,Biscuits & Cookies,Cashew Cookies,"Cashew Cookies for everyday cooking, dining, and household needs.",50g / 100g / 200g / 250g,,,
4,Biscuits & Cookies,Choco Fills Cookies,"Choco Fills Cookies for everyday cooking, dining, and household needs.",75g / 150g / 300g,,,
5,Biscuits & Cookies,Chocolate Chip Cookies,"Chocolate Chip Cookies for everyday cooking, dining, and household needs.",50g / 100g / 120g / 200g,,,
6,Biscuits & Cookies,Coconut Cookies,"Coconut Cookies for everyday cooking, dining, and household needs.",50g / 100g / 150g / 200g,,,
7,Biscuits & Cookies,Cream Biscuits (Assorted),"Cream Biscuits (Assorted) for everyday cooking, dining, and household needs.",50g / 100g / 120g / 200g,,,
8,Biscuits & Cookies,Digestive Biscuits,"Digestive Biscuits for everyday cooking, dining, and household needs.",100g / 200g / 250g / 500g / 1kg,,,
9,Biscuits & Cookies,Glucose Biscuits,"Glucose Biscuits for everyday cooking, dining, and household needs.",50g / 100g / 200g / 250g / 800g / 1kg,,,
10,Biscuits & Cookies,Jeera Biscuits,"Jeera Biscuits for everyday cooking, dining, and household needs.",100g / 200g / 250g / 500g,,,
11,Biscuits & Cookies,Jim Jam Biscuits,"Jim Jam Biscuits for everyday cooking, dining, and household needs.",50g / 100g / 150g / 200g,,,
12,Biscuits & Cookies,Little Hearts,"Little Hearts for everyday cooking, dining, and household needs.",35g / 75g / 150g,,,
13,Biscuits & Cookies,Local Bakery Butter Biscuits,"Local Bakery Butter Biscuits for everyday cooking, dining, and household needs.",100g / 200g / 250g / 500g / 1kg,,,
14,Biscuits & Cookies,Local Bakery Ghee Biscuits (Nankhatai),"Local Bakery Ghee Biscuits (Nankhatai) for everyday cooking, dining, and household needs.",100g / 250g / 500g,,,
15,Biscuits & Cookies,Local Bakery Salt Biscuits,"Local Bakery Salt Biscuits for everyday cooking, dining, and household needs.",100g / 200g / 250g / 500g,,,
16,Biscuits & Cookies,Marie Biscuits,"Marie Biscuits for everyday cooking, dining, and household needs.",120g / 200g / 250g / 300g / 1kg,,,
17,Biscuits & Cookies,Milk Biscuits,"Milk Biscuits for everyday cooking, dining, and household needs.",60g / 100g / 200g / 250g,,,
18,Biscuits & Cookies,Milk Rusk,"Milk Rusk for everyday cooking, dining, and household needs.",150g / 200g / 300g / 400g,,,
19,Biscuits & Cookies,Pista Badam Cookies,"Pista Badam Cookies for everyday cooking, dining, and household needs.",50g / 100g / 200g,,,
20,Biscuits & Cookies,Salted Crackers,"Salted Crackers for everyday cooking, dining, and household needs.",50g / 75g / 100g / 200g / 250g,,,
21,Biscuits & Cookies,Sandwich Cream Cookies (Vanilla/Chocolate),"Sandwich Cream Cookies (Vanilla/Chocolate) for everyday cooking, dining, and household needs.",50g / 100g / 120g / 300g,,,
22,Biscuits & Cookies,Sweet & Salty Crackers,"Sweet & Salty Crackers for everyday cooking, dining, and household needs.",50g / 100g / 200g / 300g,,,
