S.No.,Category,Product Name,Description,Quantity,Original Price (MRP),Selling Price,Image URL
1,"Dals, Pulses & Beans",24 Mantra Organic Chana Dal,"24 Mantra Organic Chana Dal for everyday cooking, dining, and household needs.",1 kg,,,https://images.unsplash.com/photo-1515543237350-b3eea1ec8082?auto=format&fit=crop&w=600&q=80
2,"Dals, Pulses & Beans",24 Mantra Organic Green Moong Whole,"24 Mantra Organic Green Moong Whole for everyday cooking, dining, and household needs.",1 kg,,,https://images.unsplash.com/photo-1515543237350-b3eea1ec8082?auto=format&fit=crop&w=600&q=80
3,"Dals, Pulses & Beans",24 Mantra Organic Kabuli Chana,"24 Mantra Organic Kabuli Chana for everyday cooking, dining, and household needs.",1 kg,,,https://images.unsplash.com/photo-1515543237350-b3eea1ec8082?auto=format&fit=crop&w=600&q=80
4,"Dals, Pulses & Beans",24 Mantra Organic Masoor Dal Split,"24 Mantra Organic Masoor Dal Split for everyday cooking, dining, and household needs.",1 kg,,,https://images.unsplash.com/photo-1515543237350-b3eea1ec8082?auto=format&fit=crop&w=600&q=80
5,"Dals, Pulses & Beans",24 Mantra Organic Rajma Chitra,"24 Mantra Organic Rajma Chitra for everyday cooking, dining, and household needs.",1 kg,,,https://images.unsplash.com/photo-1515543237350-b3eea1ec8082?auto=format&fit=crop&w=600&q=80
6,"Dals, Pulses & Beans",24 Mantra Organic Toor Dal,"24 Mantra Organic Toor Dal for everyday cooking, dining, and household needs.",1 kg / 500 g,,,https://images.unsplash.com/photo-1515543237350-b3eea1ec8082?auto=format&fit=crop&w=600&q=80
7,"Dals, Pulses & Beans",24 Mantra Organic Urad Dal White Split,"24 Mantra Organic Urad Dal White Split for everyday cooking, dining, and household needs.",1 kg,,,https://images.unsplash.com/photo-1515543237350-b3eea1ec8082?auto=format&fit=crop&w=600&q=80
8,"Dals, Pulses & Beans",BB Royal Broken Wheat (Nurukku Gothambu),"BB Royal Broken Wheat (Nurukku Gothambu) for everyday cooking, dining, and household needs.",1 kg / 500 g,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&w=600&q=80
9,"Dals, Pulses & Beans",BB Royal Chana Dal,"BB Royal Chana Dal for everyday cooking, dining, and household needs.",1 kg / 500 g,,,https://images.unsplash.com/photo-1515543237350-b3eea1ec8082?auto=format&fit=crop&w=600&q=80
10,"Dals, Pulses & Beans",BB Royal Dark Red Rajma,"BB Royal Dark Red Rajma for everyday cooking, dining, and household needs.",1 kg / 500 g,,,https://images.unsplash.com/photo-1515543237350-b3eea1ec8082?auto=format&fit=crop&w=600&q=80
11,"Dals, Pulses & Beans",BB Royal Green Moong Split (Chilka),"BB Royal Green Moong Split (Chilka) for everyday cooking, dining, and household needs.",1 kg / 500 g,,,https://images.unsplash.com/photo-1515543237350-b3eea1ec8082?auto=format&fit=crop&w=600&q=80
12,"Dals, Pulses & Beans",BB Royal Green Moong Whole,"BB Royal Green Moong Whole for everyday cooking, dining, and household needs.",1 kg / 500 g,,,https://images.unsplash.com/photo-1515543237350-b3eea1ec8082?auto=format&fit=crop&w=600&q=80
13,"Dals, Pulses & Beans",BB Royal Green Peas Dried (Pacha Pattani),"BB Royal Green Peas Dried (Pacha Pattani) for everyday cooking, dining, and household needs.",1 kg / 500 g,,,https://images.unsplash.com/photo-1515543237350-b3eea1ec8082?auto=format&fit=crop&w=600&q=80
14,"Dals, Pulses & Beans",BB Royal Horse Gram (Muthira),"BB Royal Horse Gram (Muthira) for everyday cooking, dining, and household needs.",1 kg / 500 g,,,https://images.unsplash.com/photo-1515543237350-b3eea1ec8082?auto=format&fit=crop&w=600&q=80
15,"Dals, Pulses & Beans",BB Royal Kabuli Chana Big,"BB Royal Kabuli Chana Big for everyday cooking, dining, and household needs.",1 kg / 500 g,,,https://images.unsplash.com/photo-1515543237350-b3eea1ec8082?auto=format&fit=crop&w=600&q=80
16,"Dals, Pulses & Beans",BB Royal Kala Chana (Kadala),"BB Royal Kala Chana (Kadala) for everyday cooking, dining, and household needs.",1 kg / 500 g,,,https://images.unsplash.com/photo-1515543237350-b3eea1ec8082?auto=format&fit=crop&w=600&q=80
17,"Dals, Pulses & Beans",BB Royal Lobia White (Vanpayar),"BB Royal Lobia White (Vanpayar) for everyday cooking, dining, and household needs.",1 kg / 500 g,,,https://images.unsplash.com/photo-1515543237350-b3eea1ec8082?auto=format&fit=crop&w=600&q=80
18,"Dals, Pulses & Beans",BB Royal Masoor Dal Red Split,"BB Royal Masoor Dal Red Split for everyday cooking, dining, and household needs.",1 kg / 500 g,,,https://images.unsplash.com/photo-1515543237350-b3eea1ec8082?auto=format&fit=crop&w=600&q=80
19,"Dals, Pulses & Beans",BB Royal Masoor Whole Black,"BB Royal Masoor Whole Black for everyday cooking, dining, and household needs.",1 kg / 500 g,,,https://images.unsplash.com/photo-1515543237350-b3eea1ec8082?auto=format&fit=crop&w=600&q=80
