S.No.,Category,Product Name,Description,Quantity,Original Price (MRP),Selling Price,Image URL
1,Dry Fruits & Cereals,Almonds (Badam),"Almonds (Badam) for everyday cooking, dining, and household needs.",100g / 200g / 250g / 500g / 1kg,,,
2,Dry Fruits & Cereals,Arabian Dates (Seedless),"Arabian Dates (Seedless) for everyday cooking, dining, and household needs.",250g / 500g / 1kg,,,
3,Dry Fruits & Cereals,Chocos,"Chocos for everyday cooking, dining, and household needs.",125g / 250g / 375g / 1kg,,,
4,Dry Fruits & Cereals,Copra / Dry Coconut,"Copra / Dry Coconut for everyday cooking, dining, and household needs.",250g / 500g / 1kg / 2kg,,,
5,Dry Fruits & Cereals,Corn Flakes,"Corn Flakes for everyday cooking, dining, and household needs.",250g / 475g / 875g / 1kg,,,
6,Dry Fruits & Cereals,Pistachios (Pista),"Pistachios (Pista) for everyday cooking, dining, and household needs.",100g / 200g / 250g / 500g,,,
7,Dry Fruits & Cereals,Raisins (Kishmish),"Raisins (Kishmish) for everyday cooking, dining, and household needs.",100g / 200g / 250g / 500g / 1kg,,,
8,Dry Fruits & Cereals,Roasted Peanuts,"Roasted Peanuts for everyday cooking, dining, and household needs.",100g / 250g / 500g / 1kg,,,
9,Dry Fruits & Cereals,Rolled Oats,"Rolled Oats for everyday cooking, dining, and household needs.",400g / 500g / 1kg / 1.5kg / 2kg,,,
10,Dry Fruits & Cereals,Split Cashew Nuts (Kaju Tukda),"Split Cashew Nuts (Kaju Tukda) for everyday cooking, dining, and household needs.",100g / 250g / 500g / 1kg,,,
11,Dry Fruits & Cereals,Walnuts (Akhrot),"Walnuts (Akhrot) for everyday cooking, dining, and household needs.",100g / 200g / 250g / 500g,,,
12,Dry Fruits & Cereals,Whole Cashew Nuts (Kaju),"Whole Cashew Nuts (Kaju) for everyday cooking, dining, and household needs.",100g / 200g / 250g / 500g / 1kg,,,
