S.No.,Category,Product Name,Description,Quantity,Original Price (MRP),Selling Price,Image URL
1,Fresh Fruits,Ajwa Dates,"Ajwa Dates for everyday cooking, dining, and household needs.",1 pc,,,https://images.unsplash.com/photo-1586201375761-83865001e31c?w=500&auto=format&fit=crop&q=80
2,Fresh Fruits,Alphonso Mango,"Alphonso Mango for everyday cooking, dining, and household needs.",500g / 1kg,,,https://images.unsplash.com/photo-1553279768-865429fa0078?w=500&auto=format&fit=crop&q=80
3,Fresh Fruits,Amla,"Amla for everyday cooking, dining, and household needs.",1 pc,,,https://images.unsplash.com/photo-1615485500704-8e990f9900f7?w=500&auto=format&fit=crop&q=80
4,Fresh Fruits,Apple,"Apple for everyday cooking, dining, and household needs.",500g / 1kg,,,https://images.unsplash.com/photo-1560806887-1e4cd0b6cbd6?w=500&auto=format&fit=crop&q=80
5,Fresh Fruits,Avocado,"Avocado for everyday cooking, dining, and household needs.",500g / 1kg,,,https://images.unsplash.com/photo-1523049673857-eb18f1d7b578?w=500&auto=format&fit=crop&q=80
6,Fresh Fruits,Banganapalli Mango,"Banganapalli Mango for everyday cooking, dining, and household needs.",500g / 1kg,,,https://images.unsplash.com/photo-1553279768-865429fa0078?w=500&auto=format&fit=crop&q=80
7,Fresh Fruits,Bhagwa Pomegranate,"Bhagwa Pomegranate for everyday cooking, dining, and household needs.",500g / 1kg,,,https://images.unsplash.com/photo-1557800636-894a64c1696f?w=500&auto=format&fit=crop&q=80
8,Fresh Fruits,Big Lemon,"Big Lemon for everyday cooking, dining, and household needs.",1 pc,,,https://images.unsplash.com/photo-1582284540020-8acbe03f4924?w=500&auto=format&fit=crop&q=80
9,Fresh Fruits,Bilimbi,"Bilimbi for everyday cooking, dining, and household needs.",1 pc,,,https://images.unsplash.com/photo-1604977042946-1eecc30f269e?w=500&auto=format&fit=crop&q=80
10,Fresh Fruits,Black Grapes,"Black Grapes for everyday cooking, dining, and household needs.",1 pc,,,https://images.unsplash.com/photo-1537640538966-79f369143f8f?w=500&auto=format&fit=crop&q=80
11,Fresh Fruits,Black Seedless Grapes,"Black Seedless Grapes for everyday cooking, dining, and household needs.",1 pc,,,https://images.unsplash.com/photo-1596363505729-4190a9506133?w=500&auto=format&fit=crop&q=80
12,Fresh Fruits,Breadfruit,"Breadfruit for everyday cooking, dining, and household needs.",1 pc,,,https://images.unsplash.com/photo-1597362925123-77861d3fbac7?w=500&auto=format&fit=crop&q=80
13,Fresh Fruits,Chandrakaran Mango,"Chandrakaran Mango for everyday cooking, dining, and household needs.",500g / 1kg,,,https://images.unsplash.com/photo-1553279768-865429fa0078?w=500&auto=format&fit=crop&q=80
14,Fresh Fruits,Chengalikodan Nendran Banana,"Chengalikodan Nendran Banana for everyday cooking, dining, and household needs.",500g / 1kg,,,https://images.unsplash.com/photo-1528825871115-3581a5387919?w=500&auto=format&fit=crop&q=80
15,Fresh Fruits,Chenkadali Banana,"Chenkadali Banana for everyday cooking, dining, and household needs.",500g / 1kg,,,https://images.unsplash.com/photo-1528825871115-3581a5387919?w=500&auto=format&fit=crop&q=80
16,Fresh Fruits,Chinese Pear,"Chinese Pear for everyday cooking, dining, and household needs.",500g / 1kg,,,https://images.unsplash.com/photo-1514756331096-242fdeb70d4a?w=500&auto=format&fit=crop&q=80
17,Fresh Fruits,Coconut,"Coconut for everyday cooking, dining, and household needs.",1 pc,,,https://images.unsplash.com/photo-1544378730-8b5104b18790?w=500&auto=format&fit=crop&q=80
18,Fresh Fruits,Coconut Kernel,"Coconut Kernel for everyday cooking, dining, and household needs.",1 pc,,,https://images.unsplash.com/photo-1544378730-8b5104b18790?w=500&auto=format&fit=crop&q=80
19,Fresh Fruits,Copra,"Copra for everyday cooking, dining, and household needs.",500g / 1kg,,,https://images.unsplash.com/photo-1544378730-8b5104b18790?w=500&auto=format&fit=crop&q=80
20,Fresh Fruits,Cricket Ball Sapota,"Cricket Ball Sapota for everyday cooking, dining, and household needs.",500g / 1kg,,,https://images.unsplash.com/photo-1596386461350-326ccb383e9f?w=500&auto=format&fit=crop&q=80
