S.No.,Category,Product Name,Description,Quantity,Original Price (MRP),Selling Price,Image URL
1,Household & Stationery,A4 White Copier Paper Ream (75 GSM),"A4 White Copier Paper Ream (75 GSM) for everyday cooking, dining, and household needs.",100 sheets / 500 sheets,,,https://images.unsplash.com/photo-1583485088034-697b5bc54ccd?w=500&auto=format&fit=crop&q=80
2,Household & Stationery,Apsara Platinum Extra Dark Pencils Box,"Apsara Platinum Extra Dark Pencils Box for everyday cooking, dining, and household needs.",10 pcs,,,https://images.unsplash.com/photo-1583485088034-697b5bc54ccd?w=500&auto=format&fit=crop&q=80
3,Household & Stationery,Cello Gripper Ballpoint Pens (Blue),"Cello Gripper Ballpoint Pens (Blue) for everyday cooking, dining, and household needs.",1 pc / 5 pcs / 10 pcs,,,https://images.unsplash.com/photo-1583485088034-697b5bc54ccd?w=500&auto=format&fit=crop&q=80
4,Household & Stationery,Chandrika Ayurvedic Handmade Soap,"Chandrika Ayurvedic Handmade Soap for everyday cooking, dining, and household needs.",75 g / 125 g,,,https://images.unsplash.com/photo-1607006314180-3058866503c8?w=500&auto=format&fit=crop&q=80
5,Household & Stationery,Colgate Strong Teeth Dental Cream Toothpaste,"Colgate Strong Teeth Dental Cream Toothpaste for everyday cooking, dining, and household needs.",100 g / 200 g,,,https://images.unsplash.com/photo-1559591937-e62fb330bc1f?w=500&auto=format&fit=crop&q=80
6,Household & Stationery,Comfort Fabric Conditioner Morning Fresh,"Comfort Fabric Conditioner Morning Fresh for everyday cooking, dining, and household needs.",220 ml / 860 ml,,,https://images.unsplash.com/photo-1582735689369-4fe89db7114c?w=500&auto=format&fit=crop&q=80
7,Household & Stationery,Dettol Original Germ Protection Bath Soap,"Dettol Original Germ Protection Bath Soap for everyday cooking, dining, and household needs.",75 g / 125 g,,,https://images.unsplash.com/photo-1607006314180-3058866503c8?w=500&auto=format&fit=crop&q=80
8,Household & Stationery,Exo Dish Shine Round Bar,"Exo Dish Shine Round Bar for everyday cooking, dining, and household needs.",250 g / 500 g,,,https://images.unsplash.com/photo-1585670210693-e7fdd16b142e?w=500&auto=format&fit=crop&q=80
9,Household & Stationery,Good Knight Gold Flash Liquid Vaporizer Refill,"Good Knight Gold Flash Liquid Vaporizer Refill for everyday cooking, dining, and household needs.",45 ml,,,https://images.unsplash.com/photo-1585670210693-e7fdd16b142e?w=500&auto=format&fit=crop&q=80
10,Household & Stationery,Harpic Power Plus Toilet Cleaner,"Harpic Power Plus Toilet Cleaner for everyday cooking, dining, and household needs.",500 ml / 1 L,,,https://images.unsplash.com/photo-1585670210693-e7fdd16b142e?w=500&auto=format&fit=crop&q=80
11,Household & Stationery,Lizol Disinfectant Surface & Floor Cleaner,"Lizol Disinfectant Surface & Floor Cleaner for everyday cooking, dining, and household needs.",500 ml / 1 L,,,https://images.unsplash.com/photo-1585670210693-e7fdd16b142e?w=500&auto=format&fit=crop&q=80
12,Household & Stationery,Medimix Ayurvedic 18 Herbs Classic Soap,"Medimix Ayurvedic 18 Herbs Classic Soap for everyday cooking, dining, and household needs.",75 g / 125 g,,,https://images.unsplash.com/photo-1607006314180-3058866503c8?w=500&auto=format&fit=crop&q=80
13,Household & Stationery,Reynolds 045 Fine Carbure Ball Pen (Blue),"Reynolds 045 Fine Carbure Ball Pen (Blue) for everyday cooking, dining, and household needs.",1 pc / 5 pcs,,,https://images.unsplash.com/photo-1583485088034-697b5bc54ccd?w=500&auto=format&fit=crop&q=80
14,Household & Stationery,Rin Detergent Bar Soap,"Rin Detergent Bar Soap for everyday cooking, dining, and household needs.",150 g / 250 g,,,https://images.unsplash.com/photo-1582735689369-4fe89db7114c?w=500&auto=format&fit=crop&q=80
15,Household & Stationery,Santoor Sandal & Turmeric Soap,"Santoor Sandal & Turmeric Soap for everyday cooking, dining, and household needs.",100 g,,,https://images.unsplash.com/photo-1607006314180-3058866503c8?w=500&auto=format&fit=crop&q=80
16,Household & Stationery,Scotch-Brite Scrub Sponge / Pad,"Scotch-Brite Scrub Sponge / Pad for everyday cooking, dining, and household needs.",1 pc / 3 pcs,,,https://images.unsplash.com/photo-1585670210693-e7fdd16b142e?w=500&auto=format&fit=crop&q=80
