S.No.,Category,Product Name,Description,Quantity,Original Price (MRP),Selling Price,Image URL
1,Meat & Fish,Farm Fresh Brown Eggs,"Farm Fresh Brown Eggs for everyday cooking, dining, and household needs.",6 pcs / 10 pcs,,,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=500&auto=format&fit=crop&q=80
2,Meat & Fish,Farm Fresh White Eggs,"Farm Fresh White Eggs for everyday cooking, dining, and household needs.",6 pcs / 10 pcs / 30 pcs,,,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=500&auto=format&fit=crop&q=80
3,Meat & Fish,Fresh Anchovy / Netholi (Kozhuva),"Fresh Anchovy / Netholi (Kozhuva) for everyday cooking, dining, and household needs.",500 g / 1 kg,,,https://images.unsplash.com/photo-1534939561126-855b8675edd7?w=500&auto=format&fit=crop&q=80
4,Meat & Fish,Fresh Chicken Boneless Breast,"Fresh Chicken Boneless Breast for everyday cooking, dining, and household needs.",500 g / 1 kg,,,https://images.unsplash.com/photo-1604503468506-a8da13d82791?w=500&auto=format&fit=crop&q=80
5,Meat & Fish,Fresh Chicken Curry Cut (Skinless),"Fresh Chicken Curry Cut (Skinless) for everyday cooking, dining, and household needs.",500 g / 1 kg / 2 kg,,,https://images.unsplash.com/photo-1604503468506-a8da13d82791?w=500&auto=format&fit=crop&q=80
6,Meat & Fish,Fresh Chicken Curry Cut (With Skin),"Fresh Chicken Curry Cut (With Skin) for everyday cooking, dining, and household needs.",500 g / 1 kg / 2 kg,,,https://images.unsplash.com/photo-1604503468506-a8da13d82791?w=500&auto=format&fit=crop&q=80
7,Meat & Fish,Fresh Goat / Mutton (Boneless),"Fresh Goat / Mutton (Boneless) for everyday cooking, dining, and household needs.",500 g / 1 kg,,,https://images.unsplash.com/photo-1544025162-d76694265947?w=500&auto=format&fit=crop&q=80
8,Meat & Fish,Fresh Goat / Mutton (Curry Cut),"Fresh Goat / Mutton (Curry Cut) for everyday cooking, dining, and household needs.",500 g / 1 kg / 2 kg,,,https://images.unsplash.com/photo-1544025162-d76694265947?w=500&auto=format&fit=crop&q=80
9,Meat & Fish,Fresh Indian Mackerel / Ayala (Cleaned & Cut),"Fresh Indian Mackerel / Ayala (Cleaned & Cut) for everyday cooking, dining, and household needs.",500 g / 1 kg,,,https://images.unsplash.com/photo-1534939561126-855b8675edd7?w=500&auto=format&fit=crop&q=80
10,Meat & Fish,Fresh Indian Mackerel / Ayala (Whole),"Fresh Indian Mackerel / Ayala (Whole) for everyday cooking, dining, and household needs.",500 g / 1 kg,,,https://images.unsplash.com/photo-1534939561126-855b8675edd7?w=500&auto=format&fit=crop&q=80
