S.No.,Category,Product Name,Description,Quantity,Original Price (MRP),Selling Price,Image URL
1,Oils & Ghee,Coconut Oil,"Coconut Oil for everyday cooking, dining, and household needs.",250ml / 500ml / 1L / 2L / 5L,,,
2,Oils & Ghee,Cold-Pressed Coconut Oil,"Cold-Pressed Coconut Oil for everyday cooking, dining, and household needs.",500ml / 1L / 2L / 5L,,,
3,Oils & Ghee,Groundnut Oil,"Groundnut Oil for everyday cooking, dining, and household needs.",500ml / 1L / 2L / 5L,,,
4,Oils & Ghee,Mustard Oil,"Mustard Oil for everyday cooking, dining, and household needs.",500ml / 1L / 2L,,,
5,Oils & Ghee,Olive Oil / Extra Virgin Olive Oil,"Olive Oil / Extra Virgin Olive Oil for everyday cooking, dining, and household needs.",250ml / 500ml / 1L,,,
6,Oils & Ghee,Palmolein Oil,"Palmolein Oil for everyday cooking, dining, and household needs.",1L / 5L,,,
7,Oils & Ghee,Pooja Deepam Oil,"Pooja Deepam Oil for everyday cooking, dining, and household needs.",500ml / 1L / 2L,,,
8,Oils & Ghee,Rice Bran Oil,"Rice Bran Oil for everyday cooking, dining, and household needs.",1L / 2L / 5L,,,
9,Oils & Ghee,Sesame Oil / Gingelly Oil,"Sesame Oil / Gingelly Oil for everyday cooking, dining, and household needs.",200ml / 500ml / 1L / 2L,,,
10,Oils & Ghee,Sunflower Oil,"Sunflower Oil for everyday cooking, dining, and household needs.",500ml / 1L / 2L / 5L,,,
11,Oils & Ghee,Vanaspati / Dalda,"Vanaspati / Dalda for everyday cooking, dining, and household needs.",500ml / 1L / 5L,,,
12,Oils & Ghee,Virgin Coconut Oil,"Virgin Coconut Oil for everyday cooking, dining, and household needs.",100ml / 250ml / 500ml / 1L,,,
