S.No.,Category,Product Name,Description,Quantity,Original Price (MRP),Selling Price,Image URL
1,Oils & Ghee,Coconut Oil,,1 kg,,,
2,Oils & Ghee,Roasted Coconut Oil,,1 kg,,,
3,Oils & Ghee,Virgin Coconut Oil,,1 kg,,,
4,Oils & Ghee,Cold-Pressed Coconut Oil,,1 kg,,,
5,Oils & Ghee,Wood-Pressed Coconut Oil,,1 kg,,,
6,Oils & Ghee,Filtered Coconut Oil,,1 kg,,,
7,Oils & Ghee,Loose Coconut Oil,,1 kg,,,
8,Oils & Ghee,Organic Coconut Oil,,1 kg,,,
9,Oils & Ghee,Sesame Oil,,1 kg,,,
10,Oils & Ghee,Cold-Pressed Sesame Oil,,1 kg,,,
11,Oils & Ghee,Wood-Pressed Sesame Oil,,1 kg,,,
12,Oils & Ghee,Loose Sesame Oil,,1 kg,,,
13,Oils & Ghee,Sunflower Oil,,1 kg,,,
14,Oils & Ghee,Cold-Pressed Sunflower Oil,,1 kg,,,
15,Oils & Ghee,Groundnut Oil,,1 kg,,,
16,Oils & Ghee,Cold-Pressed Groundnut Oil,,1 kg,,,
17,Oils & Ghee,Wood-Pressed Groundnut Oil,,1 kg,,,
18,Oils & Ghee,Mustard Oil,,1 kg,,,
19,Oils & Ghee,Rice Bran Oil,,1 kg,,,
20,Oils & Ghee,Palmolein Oil,,1 kg,,,
21,Oils & Ghee,Soybean Oil,,1 kg,,,
22,Oils & Ghee,Corn Oil,,1 kg,,,
23,Oils & Ghee,Canola Oil,,1 kg,,,
24,Oils & Ghee,Safflower Oil,,1 kg,,,
25,Oils & Ghee,Cottonseed Oil,,1 kg,,,
26,Oils & Ghee,Blended Vegetable Cooking Oil,,1 kg,,,
27,Oils & Ghee,Olive Oil,,1 kg,,,
28,Oils & Ghee,Extra Virgin Olive Oil,,1 kg,,,
29,Oils & Ghee,Olive Pomace Oil,,1 kg,,,
30,Oils & Ghee,Flaxseed Oil,,1 kg,,,
31,Oils & Ghee,Avocado Oil,,1 kg,,,
32,Oils & Ghee,Almond Oil,,1 kg,,,
33,Oils & Ghee,Walnut Oil,,1 kg,,,
34,Oils & Ghee,Grapeseed Oil,,1 kg,,,
35,Oils & Ghee,Castor Oil,,1 kg,,,
36,Oils & Ghee,Neem Oil,,1 kg,,,
37,Oils & Ghee,Pooja Deepam Oil,,1 kg,,,
38,Oils & Ghee,Cow Ghee,,1 kg,,,
39,Oils & Ghee,Desi Cow Ghee,,1 kg,,,
40,Oils & Ghee,Bilona Cow Ghee,,1 kg,,,
41,Oils & Ghee,Buffalo Ghee,,1 kg,,,
42,Oils & Ghee,Biriyani Ghee,,1 kg,,,
43,Oils & Ghee,Loose Cow Ghee,,1 kg,,,
44,Oils & Ghee,Organic Cow Ghee,,1 kg,,,
45,Oils & Ghee,Vanaspati,,1 kg,,,
46,Oils & Ghee,Table Butter,,1 kg,,,
47,Oils & Ghee,Cooking Butter,,1 kg,,,
48,Oils & Ghee,Loose Cooking Butter,,1 kg,,,
