S.No.,Category,Product Name,Description,Quantity,Original Price (MRP),Selling Price,Image URL
1,Spices & Masalas,"Chola Chicken Masala","Chola Chicken Masala for authentic Kerala cuisine and household cooking.","100g / 50g",₹49,₹38,https://www.cholafoods.com/images/chicken-masala.png
2,Spices & Masalas,"Chola Dates Pickle","Chola Dates Pickle for authentic Kerala cuisine and household cooking.","100g / 200g / 500g / 1kg / 5kg",₹58,₹45,https://www.cholafoods.com/images/product-2.png
3,Spices & Masalas,"Chola Fish Masala","Chola Fish Masala for authentic Kerala cuisine and household cooking.","100g / 50g",₹46,₹35,https://www.cholafoods.com/images/fish-masala.png
4,Spices & Masalas,"Chola Garlic Pickle","Chola Garlic Pickle for authentic Kerala cuisine and household cooking.","100g / 200g / 500g / 1kg / 5kg",₹52,₹40,https://www.cholafoods.com/images/product-4.png
5,Spices & Masalas,"Chola Lemon Pickle","Chola Lemon Pickle for authentic Kerala cuisine and household cooking.","100g / 200g / 500g / 1kg / 5kg",₹46,₹35,https://www.cholafoods.com/images/product-3.png
6,Spices & Masalas,"Chola Mango Pickle","Chola Mango Pickle for authentic Kerala cuisine and household cooking.","100g / 200g / 500g / 1kg / 5kg",₹46,₹35,https://www.cholafoods.com/images/product-1.png
7,Spices & Masalas,"Chola Meat Masala","Chola Meat Masala for authentic Kerala cuisine and household cooking.","100g / 50g",₹49,₹38,https://www.cholafoods.com/images/meat-masala.png
8,Spices & Masalas,"Chola Mixed Fruit Jam","Chola Mixed Fruit Jam for authentic Kerala cuisine and household cooking.","500g / 200g",₹144,₹110,https://www.cholafoods.com/images/product-6.png
9,Spices & Masalas,"Chola Sambar Powder","Chola Sambar Powder for authentic Kerala cuisine and household cooking.","100g / 50g",₹42,₹32,https://www.cholafoods.com/images/sambar-powder.png
10,Spices & Masalas,"Chola Tender Mango Pickle (Nadan Kanni Manga)","Chola Tender Mango Pickle (Nadan Kanni Manga) for authentic Kerala cuisine and household cooking.","100g / 200g / 500g / 1kg / 5kg",₹58,₹45,https://www.cholafoods.com/images/product-5.png
11,Spices & Masalas,"Chola Tomato Ketchup / Sauce","Chola Tomato Ketchup / Sauce for authentic Kerala cuisine and household cooking.","500g / 200g",₹98,₹75,https://www.cholafoods.com/images/product-6.png
12,Spices & Masalas,"Eastern Arabia Shawarma Masala","Eastern Arabia Shawarma Masala for authentic Kerala cuisine and household cooking.","100 g",₹102,₹70,https://cdn.grofers.com/app/images/products/full_s/593765.jpg
13,Spices & Masalas,"Eastern Asafoetida Powder","Eastern Asafoetida Powder for authentic Kerala cuisine and household cooking.","50 g",₹92,₹67,https://instamart-media.swiggy.com/eastern-asafoetida-50g.jpg
