S.No.,Category,Product Name,Description,Quantity,Original Price (MRP),Selling Price,Image URL
1,Spices & Masalas,Black Pepper,,1 kg,,,
2,Spices & Masalas,Loose Black Pepper,,1 kg,,,
3,Spices & Masalas,White Pepper,,1 kg,,,
4,Spices & Masalas,Green Cardamom,,1 kg,,,
5,Spices & Masalas,Loose Green Cardamom,,1 kg,,,
6,Spices & Masalas,Black Cardamom,,1 kg,,,
7,Spices & Masalas,Cloves,,1 kg,,,
8,Spices & Masalas,Loose Cloves,,1 kg,,,
9,Spices & Masalas,Cinnamon,,1 kg,,,
10,Spices & Masalas,Cassia Bark,,1 kg,,,
11,Spices & Masalas,Cumin Seeds,,1 kg,,,
12,Spices & Masalas,Loose Cumin Seeds,,1 kg,,,
13,Spices & Masalas,Fennel Seeds,,1 kg,,,
14,Spices & Masalas,Loose Fennel Seeds,,1 kg,,,
15,Spices & Masalas,Black Mustard Seeds,,1 kg,,,
16,Spices & Masalas,Loose Black Mustard Seeds,,1 kg,,,
17,Spices & Masalas,Yellow Mustard Seeds,,1 kg,,,
18,Spices & Masalas,Fenugreek Seeds,,1 kg,,,
19,Spices & Masalas,Loose Fenugreek Seeds,,1 kg,,,
20,Spices & Masalas,Coriander Seeds,,1 kg,,,
21,Spices & Masalas,Loose Coriander Seeds,,1 kg,,,
22,Spices & Masalas,Dry Red Chilli,,1 kg,,,
23,Spices & Masalas,Loose Dry Red Chilli,,1 kg,,,
24,Spices & Masalas,Kashmiri Dry Red Chilli,,1 kg,,,
25,Spices & Masalas,Guntur Dry Red Chilli,,1 kg,,,
26,Spices & Masalas,Round Red Chilli,,1 kg,,,
27,Spices & Masalas,Star Anise,,1 kg,,,
28,Spices & Masalas,Nutmeg Whole,,1 kg,,,
29,Spices & Masalas,Mace Whole,,1 kg,,,
30,Spices & Masalas,Bay Leaf,,1 kg,,,
31,Spices & Masalas,Carom Seeds,,1 kg,,,
32,Spices & Masalas,White Sesame Seeds,,1 kg,,,
33,Spices & Masalas,Black Sesame Seeds,,1 kg,,,
34,Spices & Masalas,Poppy Seeds,,1 kg,,,
35,Spices & Masalas,Nigella Seeds,,1 kg,,,
36,Spices & Masalas,Shahjeera,,1 kg,,,
37,Spices & Masalas,Allspice,,1 kg,,,
38,Spices & Masalas,Stone Flower,,1 kg,,,
39,Spices & Masalas,Cubeb Pepper,,1 kg,,,
40,Spices & Masalas,Long Pepper,,1 kg,,,
41,Spices & Masalas,Turmeric Powder,,1 kg,,,
42,Spices & Masalas,Loose Turmeric Powder,,1 kg,,,
43,Spices & Masalas,Red Chilli Powder,,1 kg,,,
44,Spices & Masalas,Loose Red Chilli Powder,,1 kg,,,
45,Spices & Masalas,Kashmiri Chilli Powder,,1 kg,,,
46,Spices & Masalas,Crushed Chilli Flakes,,1 kg,,,
47,Spices & Masalas,Coriander Powder,,1 kg,,,
48,Spices & Masalas,Loose Coriander Powder,,1 kg,,,
49,Spices & Masalas,Roasted Coriander Powder,,1 kg,,,
50,Spices & Masalas,Cumin Powder,,1 kg,,,
51,Spices & Masalas,Roasted Cumin Powder,,1 kg,,,
52,Spices & Masalas,Black Pepper Powder,,1 kg,,,
53,Spices & Masalas,White Pepper Powder,,1 kg,,,
54,Spices & Masalas,Fennel Powder,,1 kg,,,
55,Spices & Masalas,Fenugreek Powder,,1 kg,,,
56,Spices & Masalas,Dry Ginger Powder,,1 kg,,,
57,Spices & Masalas,Garlic Powder,,1 kg,,,
58,Spices & Masalas,Onion Powder,,1 kg,,,
59,Spices & Masalas,Asafoetida Powder,,1 kg,,,
60,Spices & Masalas,Asafoetida Block,,1 kg,,,
61,Spices & Masalas,Amchur Powder,,1 kg,,,
62,Spices & Masalas,Nutmeg Powder,,1 kg,,,
63,Spices & Masalas,Cardamom Powder,,1 kg,,,
64,Spices & Masalas,Cinnamon Powder,,1 kg,,,
65,Spices & Masalas,Clove Powder,,1 kg,,,
66,Spices & Masalas,Kudampuli,,1 kg,,,
67,Spices & Masalas,Loose Kudampuli,,1 kg,,,
68,Spices & Masalas,Seedless Tamarind,,1 kg,,,
