S.No.,Product Code,Product Name,Malayalam Name,Category,Base Unit,Sell Mode,Base Unit Price (INR),Max Price Ceiling (INR),Default Variant,All Variants (Pack - Price),Image CDN URL
1,ANG-BAK-0001,White Bread,വൈറ്റ് ബ്രെഡ്,Bakery,g,Fixed,0.00,,200g (₹0),200g: ₹0 | 350g: ₹0 | 400g: ₹0 | 600g: ₹0 | 800g: ₹0,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/demo_1789311870996_033793.jpg
2,ANG-BAK-0003,Wheat Bread,ഹോൾ വീറ്റ് ബ്രെഡ് (ആട്ട ബ്രെഡ്),Bakery,g,Fixed,0.00,,250g (₹0),250g: ₹0 | 400g: ₹0,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/demo_1789311700806_579073.jpg
3,ANG-BAK-0004,Bread Sandwich,ബ്രെഡ് സാൻഡ്വിച്ച്,Bakery,pcs,Fixed,0.00,,400g (₹0),400g: ₹0 | 600g: ₹0 | 800g: ₹0,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/demo_1789315857999_262592.jpg
4,ANG-BAK-0005,Burger Bun,ബർഗർ ബൺ,Bakery,pcs,Fixed,0.00,,2pcs (₹0),2pcs: ₹0 | 4pcs: ₹0 | 6pcs: ₹0,https://images.unsplash.com/photo-1586190848861-99aa4a171e90?w=500&auto=format&fit=crop&q=80
5,ANG-BAK-0008,Sweet Bun,സ്വീറ്റ് ബൺ,Bakery,pcs,Fixed,0.00,,1pc (₹0),1pc: ₹0 | 2pcs: ₹0 | 4pcs: ₹0,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/demo_1789315757575_527142.jpg
6,ANG-BAK-0009,Cream Bun,ക്രീം ബൺ,Bakery,pcs,Fixed,0.00,,1pc (₹0),1pc: ₹0 | 2pcs: ₹0 | 4pcs: ₹0,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/demo_1789367536407_595886.webp
7,ANG-BAK-0013,Black Forest Cake,ബ്ലാക്ക് ഫോറസ്റ്റ് കേക്ക്,Bakery,g,Fixed,0.00,,250g (₹0),250g: ₹0 | 500g: ₹0 | 1kg: ₹0,https://images.unsplash.com/photo-1606313564200-e75d5e30476c?w=500&auto=format&fit=crop&q=80
8,ANG-BAK-0014,Kerala Egg Puff,മുട്ട പഫ്സ്,Bakery,pcs,Fixed,0.00,,1pc (₹0),1pc: ₹0 | 2pcs: ₹0 | 4pcs: ₹0 | 6pcs: ₹0,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/demo_1789316312387_602269.webp
9,ANG-BAK-0015,Kerala Chicken Puff,ചിക്കൻ പഫ്സ്,Bakery,pcs,Fixed,0.00,,1pc (₹0),1pc: ₹0 | 2pcs: ₹0 | 4pcs: ₹0 | 6pcs: ₹0,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/demo_1789316322858_602859.webp
10,ANG-BAK-0016,Kerala Veg Puff,വെജ് പഫ്സ്,Bakery,pcs,Fixed,0.00,,1pc (₹0),1pc: ₹0 | 2pcs: ₹0 | 4pcs: ₹0 | 6pcs: ₹0,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/demo_1789316049593_039390.webp
11,ANG-BAK-0017,Kerala Meat Puff (Beef),മീറ്റ് പഫ്സ് (ബീഫ്),Bakery,pcs,Fixed,0.00,,1pc (₹0),1pc: ₹0 | 2pcs: ₹0 | 4pcs: ₹0,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/demo_1789316265318_230316.webp
12,ANG-BAK-0018,Kerala Chicken Cutlet,ചിക്കൻ കട്ട്ലറ്റ്,Bakery,pcs,Fixed,0.00,,1pc (₹0),1pc: ₹0 | 2pcs: ₹0 | 4pcs: ₹0,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/demo_1789316331274_937726.png
13,ANG-BAK-0019,Kerala Meat Cutlet (Beef),മീറ്റ് കട്ട്ലറ്റ് (ബീഫ്),Bakery,pcs,Fixed,0.00,,1pc (₹0),1pc: ₹0 | 2pcs: ₹0 | 4pcs: ₹0,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/demo_1789316298775_012808.png
14,ANG-BAK-0020,Kerala Veg Cutlet,വെജ് കട്ട്ലറ്റ്,Bakery,pcs,Fixed,0.00,,1pc (₹0),1pc: ₹0 | 2pcs: ₹0 | 4pcs: ₹0,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/demo_1789316123203_808491.jpg
15,ANG-BAK-0021,Samosa,സമൂസ,Bakery,pcs,Fixed,0.00,,2pcs (₹0),2pcs: ₹0 | 4pcs: ₹0 | 6pcs: ₹0 | 10pcs: ₹0,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/demo_1789316185527_764112.jpg
16,ANG-BAK-0022,Banana Fry (Pazham Pori),പഴം പൊരി (ഏത്തക്ക അപ്പം),Bakery,pcs,Fixed,0.00,,1pc (₹0),1pc: ₹0 | 2pcs: ₹0 | 4pcs: ₹0,https://images.unsplash.com/photo-1528825871115-3581a5387919?w=500&auto=format&fit=crop&q=80
17,ANG-BAK-0023,Unniyappam,ഉണ്ണിയപ്പം,Bakery,pcs,Fixed,0.00,,4pcs (₹0),4pcs: ₹0 | 6pcs: ₹0 | 10pcs: ₹0 | 12pcs: ₹0,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/demo_1789315560396_514317.jpg
18,ANG-BAK-0024,Neyyappam,നെയ്യപ്പം,Bakery,pcs,Fixed,0.00,,2pcs (₹0),2pcs: ₹0 | 4pcs: ₹0 | 6pcs: ₹0,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/demo_1789315965610_377694.webp
19,ANG-BAK-0025,Achappam (Rose Cookies),അച്ചപ്പം,Bakery,g,Fixed,0.00,,100g (₹0),100g: ₹0 | 200g: ₹0 | 250g: ₹0 | 500g: ₹0,https://images.unsplash.com/photo-1499636136210-6f4ee915583e?w=500&auto=format&fit=crop&q=80
20,ANG-BAK-0026,Vattayappam,വട്ടയപ്പം,Bakery,pcs,Fixed,0.00,,250g (₹0),250g: ₹0 | 500g: ₹0,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/demo_1789315525992_629671.jpg
21,ANG-BAK-0204,Black Raisin,ബ്ലാക്ക് റൈസിൻ കേക്ക്,Bakery,g,Fixed,75.00,87.00,150 g (₹75),150 g: ₹75,https://images.unsplash.com/photo-1565958011703-44f9829ba187?w=500&auto=format&fit=crop&q=80
22,ANG-BAK-0223,Plum Cake,പ്ലം കേക്ക്,Bakery,pcs,Fixed,420.00,483.00,800 g (₹420),800 g: ₹420,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/demo_1789315894854_071608.webp
23,ANG-BAK-0233,Tea Cake,ടീ കേക്ക്,Bakery,g,Manual,90.00,104.00,250 g (₹90),250 g: ₹90,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/demo_1789315709885_453788.jpg
24,ANG-BAK-0236,Choco Brownie Cake,Choco Brownie Cake,Bakery,g,Fixed,75.00,87.00,150 g (₹75),150 g: ₹75,https://images.unsplash.com/photo-1607958996333-41aef7caefaa?w=500&auto=format&fit=crop&q=80
25,ANG-BAK-0250,Cup Cake,Cup Cake,Bakery,g,Fixed,12.00,14.00,30 g (₹12),30 g: ₹12,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/demo_1789315357087_364976.jpg
26,ANG-BAK-0251,Elite Brown Bread,എലൈറ്റ് ബ്രൗൺ ബ്രെഡ്,Bakery,g,Fixed,55.00,64.00,400 g (₹55),400 g: ₹55,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/more_health_range_brown_20bread.png
27,ANG-BAK-0252,Elite Marble Cake,എലൈറ്റ് മാർബിൾ കേക്ക്,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_marbla_20cake_20140g.png
28,ANG-BAK-0253,Elite Fruit Bar Cake,എലൈറ്റ് ഫ്രൂട്ട് ബാർ കേക്ക്,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_fruit_20cake_20140g.png
29,ANG-BAK-0254,Elite Chocolate Bar Cake,എലൈറ്റ് ചോക്ലേറ്റ് ബാർ കേക്ക്,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_choco_20barcake_20140g_20-_208906009990682_20-_20front.png
30,ANG-BAK-0255,Elite Vanilla Bar Cake,എലൈറ്റ് വാനില ബാർ കേക്ക്,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_vanilla_20_20barcake_20140g_20-_208906009990651_20-_20front.png
31,ANG-BAK-0256,Elite Orange Bar Cake,എലൈറ്റ് ഓറഞ്ച് ബാർ കേക്ക്,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_orange_20barcake_2030g_20-_208906009993195_20-_20front.png
32,ANG-BAK-0257,Elite Orange Fruity Cake,എലൈറ്റ് ഓറഞ്ച് ഫ്രൂട്ടി കേക്ക്,Bakery,g,Fixed,45.00,52.00,140 g (₹45),140 g: ₹45 | 200 g: ₹60,https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_orange_20fruity_20barcake_20100g_20-_208906009993157_20-_20front.png
