Brand,Code,Name,Category,Malayalam Name,Base Price,Variants Count,Image URL
"Aashirvaad","ANG-RIC-1329","Aashirvaad Select 100% Sharbati Atta","Rice, Atta, Flours & Mixes","ആശീർവാദ് സെലക്ട് 100% ശർബതി ആട്ട","72","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/aashirvaad/aashirvaad_select_sharbati_atta_1789406406469.webp"
"Aashirvaad","ANG-RIC-1308","Aashirvaad Shudh Chakki Whole Wheat Atta","Rice, Atta, Flours & Mixes","ആശീർവാദ് ശുദ്ധ ചക്കി ഗോതമ്പ് ആട്ട","58","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/aashirvaad/aashirvaad_shudh_chakki_atta_1789406407281.webp"
"Aashirvaad","ANG-RIC-0270","Aashirvaad Superior MP Whole Wheat Atta","Rice, Atta, Flours & Mixes","ആശീർവാദ് സുപ്പീരിയർ എം.പി ഗോതമ്പ് ആട്ട","59","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/aashirvaad/aashirvaad_superior_mp_atta_1789406407980.webp"
"Aashirvaad","ANG-RIC-1309","Aashirvaad MP Chakki Atta","Rice, Atta, Flours & Mixes","ആശീർവാദ് എം.പി ചക്കി ആട്ട","58","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/aashirvaad/aashirvaad_mp_chakki_atta_1789406408771.webp"
"Aashirvaad","ANG-RIC-1310","Aashirvaad Atta with Multigrains","Rice, Atta, Flours & Mixes","ആശീർവാദ് മൾട്ടിഗ്രെയിൻ ആട്ട","75","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/aashirvaad/aashirvaad_multigrain_atta_1789406409715.webp"
"Aashirvaad","ANG-RIC-0276","Aashirvaad Sugar Release Control Atta","Rice, Atta, Flours & Mixes","ആശീർവാദ് ഷുഗർ റിലീസ് കൺട്രോൾ ആട്ട","85","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/aashirvaad/aashirvaad_sugar_release_control_atta_1789406410474.webp"
"Aashirvaad","ANG-RIC-1311","Aashirvaad Fortified Chakki Atta","Rice, Atta, Flours & Mixes","ആശീർവാദ് ഫോർട്ടിഫൈഡ് ചക്കി ആട്ട","62","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/aashirvaad/aashirvaad_fortified_chakki_atta_1789406411127.webp"
"Aashirvaad","ANG-RIC-1312","Aashirvaad Gluten Free Flour","Rice, Atta, Flours & Mixes","ആശീർവാദ് ഗ്ലൂറ്റൻ ഫ്രീ ഫ്ലോർ","120","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/aashirvaad/aashirvaad_gluten_free_flour_1789406411815.webp"
"Aashirvaad","ANG-RIC-1313","Aashirvaad Atta with Millets","Rice, Atta, Flours & Mixes","ആശീർവാദ് മില്ലറ്റ്സ് ആട്ട","78","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/aashirvaad/aashirvaad_atta_with_millets_1789406412680.webp"
"Aashirvaad","ANG-RIC-1314","Aashirvaad Ragi Flour","Rice, Atta, Flours & Mixes","ആശീർവാദ് റാഗി മാവ്","65","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/aashirvaad/aashirvaad_ragi_flour_1789406413576.webp"
