Code,Name,Category,Malayalam Name,Base Price,Variants Count,Image URL
"ANG-STA-0001","Apsara Absolute Mechanical Pencil","Pencils","അപ്സര അബ്സൊല്യൂട്ട് മെക്കാനിക്കൽ പെൻസിൽ","30","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/apsara/pencils_absolute_mechanical.png"
"ANG-STA-0002","Apsara Absolute Pencil","Pencils","അപ്സര അബ്സൊല്യൂട്ട് പെൻസിൽ","6","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/apsara/pencils_absolute_pencil.png"
"ANG-STA-0003","Apsara Beauty Pencil","Pencils","അപ്സര ബ്യൂട്ടി പെൻസിൽ","6","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/apsara/pencils_beauty_pencil.png"
"ANG-STA-0004","Apsara Bi-colour Pencils","Pencils","അപ്സര ബൈ-കളർ പെൻസിലുകൾ","9","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/apsara/pencils_bi_colour_pencil.png"
"ANG-STA-0005","Apsara Charcoal Pencil","Pencils","അപ്സര ചാർക്കോൾ പെൻസിൽ","10","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/apsara/pencils_charcoal_pencil.png"
"ANG-STA-0006","Apsara Colour Copying Pencils","Pencils","അപ്സര കളർ കോപ്പിയിംഗ് പെൻസിലുകൾ","9","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/apsara/pencils_colour_copying_pencils.png"
"ANG-STA-0007","Apsara Colour Pencils","Pencils","അപ്സര കളർ പെൻസിലുകൾ","9","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/apsara/pencils_colour_pencil.png"
"ANG-STA-0008","Apsara Disney Frozen 2 Pencil","Pencils","അപ്സര ഡിസ്നി ഫ്രോസൺ 2 പെൻസിൽ","7","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/apsara/pencils_disney_frozen_2_pencil.png"
"ANG-STA-0009","Apsara Disney Mickey Mouse & Friends Pencil","Pencils","അപ്സര ഡിസ്നി മിക്കി മൗസ് പെൻസിൽ","7","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/apsara/pencils_disney_mickey_mouse_friends_pencil.png"
"ANG-STA-0010","Apsara Disney Princess Pencil","Pencils","അപ്സര ഡിസ്നി പ്രിൻസസ് പെൻസിൽ","7","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/apsara/pencils_disney_princess_pencil.png"
