Code,Product Name,Malayalam Name,Category,Default Image URL,Variants Count,Default Variant
"ANG-BEV-1275","7UP Original Lemon-Lime Soda","7അപ്പ് ലെമൺ ലൈം സോഡ","Beverages","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/beverages/7up_original_lemon_lime_soda_1789453082768.png",6,"750ml Bottle"
"ANG-BEV-1276","7UP Zero Sugar Lemon-Lime Soda","7അപ്പ് സീറോ ഷുഗർ ലെമൺ ലൈം സോഡ","Beverages","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/beverages/7up_zero_sugar_lemon_lime_soda_1789453085092.png",3,"750ml Bottle"
"ANG-BEV-1277","7UP Pink Lemonade Zero Sugar","7അപ്പ് പിങ്ക് ലെമണേഡ് സീറോ ഷുഗർ","Beverages","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/beverages/7up_pink_lemonade_zero_sugar_1789453086400.png",3,"250ml Can"
"ANG-BEV-1278","7UP Nimbooz Real Lemon Juice Drink","7അപ്പ് നിമ്പൂസ് റിയൽ ലെമൺ ജ്യൂസ്","Beverages","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/beverages/7up_nimbooz_real_lemon_juice_d_1789453087656.png",3,"350ml Bottle"
"ANG-BEV-1279","Pepsi Cola Original Soft Drink","പെപ്സി ഒറിജിനൽ കോള സോഫ്റ്റ്‌ ഡ്രിങ്ക്","Beverages","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/beverages/pepsi_cola_original_soft_drink_1789453089774.png",6,"750ml Bottle"
"ANG-BEV-1280","Pepsi Zero Sugar Cola Soft Drink","പെപ്സി സീറോ ഷുഗർ / പെപ്സി ബ്ലാക്ക്","Beverages","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/beverages/pepsi_zero_sugar_cola_soft_dri_1789453091456.png",3,"250ml Can"
"ANG-BEV-1281","Diet Pepsi Soft Drink","ഡയറ്റ് പെപ്സി സോഫ്റ്റ്‌ ഡ്രിങ്ക്","Beverages","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/beverages/diet_pepsi_soft_drink_1789453093480.png",3,"250ml Can"
"ANG-BEV-1282","Pepsi Wild Cherry Flavoured Cola","പെപ്സി വൈൽഡ് ചെറി ഫ്ലേവർഡ് കോള","Beverages","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/beverages/pepsi_wild_cherry_flavoured_co_1789453095173.png",2,"250ml Can"
"ANG-BEV-1283","Pepsi-Cola Real Sugar Soft Drink","പെപ്സി കോള റിയൽ ഷുഗർ","Beverages","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/beverages/pepsi_cola_real_sugar_soft_dri_1789453097087.png",2,"330ml Glass Bottle"
"ANG-BEV-1284","Mountain Dew Original Citrus Soft Drink","മൗണ്ടൻ ഡ്യൂ സിട്രസ് സോഫ്റ്റ്‌ ഡ്രിങ്ക്","Beverages","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/beverages/mountain_dew_original_citrus_s_1789453099197.png",6,"750ml Bottle"
"ANG-BEV-1285","Mountain Dew Zero Sugar Citrus Drink","മൗണ്ടൻ ഡ്യൂ സീറോ ഷുഗർ","Beverages","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/beverages/mountain_dew_zero_sugar_citrus_1789453100744.png",3,"250ml Can"
"ANG-BEV-1286","Mountain Dew Baja Blast Tropical Lime Drink","മൗണ്ടൻ ഡ്യൂ ബാജ ബ്ലാസ്റ്റ് ട്രോപ്പിക്കൽ ലൈം","Beverages","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/beverages/mountain_dew_baja_blast_tropic_1789453102357.png",3,"250ml Can"
"ANG-BEV-1287","Mountain Dew Baja Blast Zero Sugar","മൗണ്ടൻ ഡ്യൂ ബാജ ബ്ലാസ്റ്റ് സീറോ ഷുഗർ","Beverages","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/beverages/mountain_dew_baja_blast_zero_s_1789453103725.png",2,"355ml Can"
