Product Name,Category,Code,Malayalam Name,Variants,Selling Price,Original Price (MRP),Image URL
"Camerry Red Velvet Ice Cream (Tub)","Desserts & Ice Creams","ANG-DES-0316","കാമറി റെഡ് വെൽവെറ്റ് ഐസ് ക്രീം ടബ്ബ്","500 ml; 1 L","₹140; ₹250","₹140; ₹250","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camerry/tub_1.png"
"Camerry Pista Ice Cream (Tub)","Desserts & Ice Creams","ANG-DES-0317","കാമറി പിസ്ത ഐസ് ക്രീം ടബ്ബ്","500 ml; 1 L","₹140; ₹250","₹140; ₹250","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camerry/tub_2.png"
"Camerry Butterscotch Ice Cream (Tub)","Desserts & Ice Creams","ANG-DES-0318","കാമറി ബട്ടർസ്കോച്ച് ഐസ് ക്രീം ടബ്ബ്","500 ml; 1 L","₹140; ₹250","₹140; ₹250","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camerry/tub_3.png"
"Camerry Jackfruit Ice Cream (Tub)","Desserts & Ice Creams","ANG-DES-0319","കാമറി ചക്ക (ജാക്ക്ഫ്രൂട്ട്) ഐസ് ക്രീം ടബ്ബ്","500 ml; 1 L","₹140; ₹250","₹140; ₹250","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camerry/tub_4.png"
"Camerry Kiwi Ice Cream (Tub)","Desserts & Ice Creams","ANG-DES-0320","കാമറി കിവി ഐസ് ക്രീം ടബ്ബ്","500 ml; 1 L","₹140; ₹250","₹140; ₹250","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camerry/tub_5.png"
"Camerry Chikoo Ice Cream (Tub)","Desserts & Ice Creams","ANG-DES-0321","കാമറി ചിക്കു (സപ്പോട്ട) ഐസ് ക്രീം ടബ്ബ്","500 ml; 1 L","₹140; ₹250","₹140; ₹250","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camerry/tub_6.png"
"Camerry Fig And Honey Ice Cream (Tub)","Desserts & Ice Creams","ANG-DES-0322","കാമറി ഫിഗ് & ഹണി (അത്തിപ്പഴവും തേനും) ഐസ് ക്രീം ടബ്ബ്","500 ml; 1 L","₹140; ₹250","₹140; ₹250","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camerry/tub_7.png"
"Camerry Kulfi Pistachio Ice Cream (Tub)","Desserts & Ice Creams","ANG-DES-0323","കാമറി കുൾഫി പിസ്ത ഐസ് ക്രീം ടബ്ബ്","500 ml; 1 L","₹140; ₹250","₹140; ₹250","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camerry/tub_8.png"
"Camerry Passion Fruit Ice Cream (Tub)","Desserts & Ice Creams","ANG-DES-0324","കാമറി പാഷൻ ഫ്രൂട്ട് ഐസ് ക്രീം ടബ്ബ്","500 ml; 1 L","₹140; ₹250","₹140; ₹250","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camerry/tub_9.png"
"Camerry Orange Ice Cream (Tub)","Desserts & Ice Creams","ANG-DES-0325","കാമറി ഓറഞ്ച് ഐസ് ക്രീം ടബ്ബ്","500 ml; 1 L","₹140; ₹250","₹140; ₹250","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camerry/tub_10.png"
