Code,Name,Category,Malayalam Name,Base Price,Variants Count,Image URL
"ANG-STA-0301","DOMS Ballpoint Pens","Pens & Writing","ഡോംസ് ബോൾപോയിന്റ് പെന്നുകൾ","10","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/doms/pens_writing_instruments_doms_ballpoint_pens_4.webp"
"ANG-STA-0302","DOMS Ballpoint Pens (Series 2)","Pens & Writing","ഡോംസ് ബോൾപോയിന്റ് പെന്നുകൾ (series 2)","10","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/doms/pens_writing_instruments_doms_ballpoint_pens.webp"
"ANG-STA-0303","DOMS Ballpoint Pens (Edition 2)","Pens & Writing","ഡോംസ് ബോൾപോയിന്റ് പെന്നുകൾ (edition 2)","10","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/doms/pens_writing_instruments_doms_ballpoint_pens_2.webp"
"ANG-STA-0304","DOMS CD/DVD/OHP Marker Pens","Pens & Writing","ഡോംസ് സിഡി/ഡിവിഡി മാർക്കർ പെന്നുകൾ","10","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/doms/pens_writing_instruments_doms_cd_dvd_ohp_marker_pens_2.webp"
"ANG-STA-0305","DOMS Cuboid Ballpoint Pens","Pens & Writing","ഡോംസ് cuboid ബോൾപോയിന്റ് പെന്നുകൾ","10","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/doms/pens_writing_instruments_doms_cuboid_ballpoint_pens_2.webp"
"ANG-STA-0306","DOMS Cuboid Ballpoint Pens (Series 2)","Pens & Writing","ഡോംസ് cuboid ബോൾപോയിന്റ് പെന്നുകൾ (series 2)","10","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/doms/pens_writing_instruments_doms_cuboid_ballpoint_pens.webp"
"ANG-STA-0307","DOMS Everyday Ballpoint Pens","Pens & Writing","ഡോംസ് everyday ബോൾപോയിന്റ് പെന്നുകൾ","10","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/doms/pens_writing_instruments_doms_everyday_ballpoint_pens_2.webp"
"ANG-STA-0308","DOMS Everyday Ballpoint Pens (Series 2)","Pens & Writing","ഡോംസ് everyday ബോൾപോയിന്റ് പെന്നുകൾ (series 2)","10","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/doms/pens_writing_instruments_doms_everyday_ballpoint_pens.webp"
"ANG-STA-0309","DOMS F9 Liner Pens (10 Assorted Shades)","Pens & Writing","ഡോംസ് f9 liner pens (10 assorted shades)","10","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/doms/pens_writing_instruments_doms_f9_liner_pens_10_assorted_shades.webp"
"ANG-STA-0310","DOMS Hexel Ballpoint Pens","Pens & Writing","ഡോംസ് hexel ബോൾപോയിന്റ് പെന്നുകൾ","10","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/doms/pens_writing_instruments_doms_hexel_ballpoint_pens_2.webp"
"ANG-STA-0311","DOMS Hexel Ballpoint Pens (Series 2)","Pens & Writing","ഡോംസ് hexel ബോൾപോയിന്റ് പെന്നുകൾ (series 2)","10","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/doms/pens_writing_instruments_doms_hexel_ballpoint_pens.webp"
"ANG-STA-0312","DOMS Inxglo","Pens & Writing","ഡോംസ് inxglo","10","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/doms/pens_writing_instruments_doms_inxglo.png"
