Product Name,Category,Code,Malayalam Name,Variants,Selling Price,Original Price (MRP),Image URL
"Elite Brown Bread","Bakery","ANG-BAK-0251","എലൈറ്റ് ബ്രൗൺ ബ്രെഡ്","400 g","₹55","₹55","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/more_health_range_brown_20bread.png"
"Elite Oats","Dry Goods & Cereals","ANG-DRY-0013","എലൈറ്റ് ഓട്സ്","500 g; 1 kg","₹85; ₹160","₹85; ₹160","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/more_health_range_oats-jar.png"
"Elite Nutricare Wheat Germ","Dry Goods & Cereals","ANG-DRY-0014","എലൈറ്റ് Nutricare Wheat Germ","500 g; 1 kg","₹85; ₹160","₹85; ₹160","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/more_health_range_wheat-germ-200g.png"
"Elite Fibero Wheat Bran","Dry Goods & Cereals","ANG-DRY-0015","എലൈറ്റ് Fibero Wheat Bran","500 g; 1 kg","₹85; ₹160","₹85; ₹160","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/more_health_range_wheat-bran-500g.png"
"Elite Cleaned Ragi","Dry Goods & Cereals","ANG-DRY-0016","എലൈറ്റ് റാഗി","500 g; 1 kg","₹85; ₹160","₹85; ₹160","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/more_health_range_ragi.png"
"Elite Marble Cake","Bakery","ANG-BAK-0252","എലൈറ്റ് മാർബിൾ കേക്ക്","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_marbla_20cake_20140g.png"
"Elite Fruit Bar Cake","Bakery","ANG-BAK-0253","എലൈറ്റ് ഫ്രൂട്ട് ബാർ കേക്ക്","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_fruit_20cake_20140g.png"
"Elite Chocolate Bar Cake","Bakery","ANG-BAK-0254","എലൈറ്റ് ചോക്ലേറ്റ് ബാർ കേക്ക്","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_choco_20barcake_20140g_20-_208906009990682_20-_20front.png"
"Elite Vanilla Bar Cake","Bakery","ANG-BAK-0255","എലൈറ്റ് വാനില ബാർ കേക്ക്","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_vanilla_20_20barcake_20140g_20-_208906009990651_20-_20front.png"
"Elite Orange Bar Cake","Bakery","ANG-BAK-0256","എലൈറ്റ് ഓറഞ്ച് ബാർ കേക്ക്","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_orange_20barcake_2030g_20-_208906009993195_20-_20front.png"
"Elite Orange Fruity Cake","Bakery","ANG-BAK-0257","എലൈറ്റ് ഓറഞ്ച് ഫ്രൂട്ടി കേക്ക്","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_orange_20fruity_20barcake_20100g_20-_208906009993157_20-_20front.png"
"Elite Pineapple Fruity Cake","Bakery","ANG-BAK-0258","എലൈറ്റ് പൈനാപ്പിൾ ഫ്രൂട്ടി കേക്ക്","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_pineapple-fruity-barcake.png"
"Elite Orange Chocolate","Bakery","ANG-BAK-0259","എലൈറ്റ് Orange Chocolate","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_choco_20orange_20barcake_20140g_20-_208906009990675_20-_20front.png"
"Elite Pineapple Chocolate","Bakery","ANG-BAK-0260","എലൈറ്റ് Pineapple Chocolate","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_choco_20pineapple_20barcake_20140g_20-_208906009990668_20-_20front.png"
"Elite Black Raisin","Bakery","ANG-BAK-0261","എലൈറ്റ് Black Raisin","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_black-raisin-cake.png"
"Elite Banana Pudding Cake Sliced","Bakery","ANG-BAK-0262","എലൈറ്റ് ബനാന പുഡ്ഡിംഗ് കേക്ക് Sliced","140 g; 200 g","₹45; ₹60","₹45; ₹60","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/elite/cake_banana-pudding-cake-150g.png"
