catalog_id,category,subcategory,master_product,brand,selling_mode,unit_group,variants,description,price_mrp,selling_price,image_url
H0001,Household Essentials,Laundry,Detergent Powder,Surf Excel,Packed,Weight,500g|1kg|2kg|4kg|5kg,"Detergent Powder from Surf Excel, suitable for everyday laundry use.",,,
H0002,Household Essentials,Laundry,Detergent Powder,Ariel,Packed,Weight,500g|1kg|2kg|4kg|5kg,"Detergent Powder from Ariel, suitable for everyday laundry use.",,,
H0003,Household Essentials,Laundry,Detergent Powder,Wheel,Packed,Weight,500g|1kg|2kg|4kg|5kg,"Detergent Powder from Wheel, suitable for everyday laundry use.",,,
H0004,Household Essentials,Laundry,Detergent Powder,Rin,Packed,Weight,500g|1kg|2kg|4kg|5kg,"Detergent Powder from Rin, suitable for everyday laundry use.",,,
H0005,Household Essentials,Laundry,Detergent Powder,D-Waash,Packed,Weight,500g|1kg|2kg|4kg|5kg,"Detergent Powder from D-Waash, suitable for everyday laundry use.",,,
H0006,Household Essentials,Laundry,Detergent Powder,Morga,Packed,Weight,500g|1kg|2kg|4kg|5kg,"Detergent Powder from Morga, suitable for everyday laundry use.",,,
H0007,Household Essentials,Laundry,Detergent Powder,Local / Shop Brand,Packed,Weight,500g|1kg|2kg|4kg|5kg,"Detergent Powder from Local / Shop Brand, suitable for everyday laundry use.",,,
H0008,Household Essentials,Laundry,Liquid Detergent,Surf Excel,Packed,Volume,500ml|1L|2L|5L,"Liquid Detergent from Surf Excel, suitable for everyday laundry use.",,,
H0009,Household Essentials,Laundry,Liquid Detergent,Ariel,Packed,Volume,500ml|1L|2L|5L,"Liquid Detergent from Ariel, suitable for everyday laundry use.",,,
H0010,Household Essentials,Laundry,Liquid Detergent,D-Waash,Packed,Volume,500ml|1L|2L|5L,"Liquid Detergent from D-Waash, suitable for everyday laundry use.",,,
H0011,Household Essentials,Laundry,Liquid Detergent,Morga,Packed,Volume,500ml|1L|2L|5L,"Liquid Detergent from Morga, suitable for everyday laundry use.",,,
H0012,Household Essentials,Laundry,Fabric Softener,Comfort,Packed,Volume,200ml|500ml|1L,"Fabric Softener from Comfort, suitable for everyday laundry use.",,,
H0013,Household Essentials,Laundry,Fabric Softener,D-Waash,Packed,Volume,200ml|500ml|1L,"Fabric Softener from D-Waash, suitable for everyday laundry use.",,,
H0014,Household Essentials,Dishwashing,Dishwash Liquid,Vim,Packed,Volume,250ml|500ml|1L,"Dishwash Liquid from Vim, suitable for everyday dishwashing use.",,,
H0015,Household Essentials,Dishwashing,Dishwash Liquid,Pril,Packed,Volume,250ml|500ml|1L,"Dishwash Liquid from Pril, suitable for everyday dishwashing use.",,,
