Code,Name,Category,Malayalam Name,Base Price,Variants Count,Image URL
"ANG-STA-0201","Nataraj 621 BE Bold Pencil","Pencils","നടരാജ് 621 ബി ബോൾഡ് പെൻസിൽ","6","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/nataraj/pencils_621_be_bold_pencil.webp"
"ANG-STA-0202","Nataraj Checking Pencil","Pencils","നടരാജ് ചെക്കിംഗ് പെൻസിൽ","5","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/nataraj/pencils_checking_pencil.png"
"ANG-STA-0203","Nataraj Colour Pencils","Pencils","നടരാജ് colour പെൻസിലുകൾ","8","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/nataraj/pencils_colour_pencils.webp"
"ANG-STA-0204","Nataraj Define Mechanical Pencil","Pencils","നടരാജ് define mechanical പെൻസിൽ","25","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/nataraj/pencils_define_mechanical_pencil.png"
"ANG-STA-0205","Nataraj Fluro Print Pencil","Pencils","നടരാജ് ഫ്ലൂറോ പ്രിന്റ് പെൻസിൽ","6","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/nataraj/pencils_fluro_print_pencil.png"
"ANG-STA-0206","Nataraj Hidey Pencils","Pencils","നടരാജ് ഹൈഡി പെൻസിലുകൾ","5","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/nataraj/pencils_hidey_pencils.png"
"ANG-STA-0207","Nataraj Pointz Lead","Pencils","നടരാജ് പോയിന്റ്സ് ലെഡ്","5","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/nataraj/pencils_pointz_lead.png"
"ANG-STA-0208","Nataraj Pokit Mechanical Pencil","Pencils","നടരാജ് പോക്കറ്റ് മെക്കാനിക്കൽ പെൻസിൽ","25","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/nataraj/pencils_pokit_mechanical_pencil.png"
"ANG-STA-0209","Nataraj Stripes Pencil","Pencils","നടരാജ് സ്ട്രൈപ്സ് പെൻസിൽ","5","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/nataraj/pencils_stripes_pencil.png"
"ANG-STA-0210","Nataraj 621 Plasto Eraser","Erasers","നടരാജ് 621 പ്ലാസ്റ്റോ ഇറേസർ","5","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/nataraj/erasers_621_plasto.png"
