Brand,Code,Name,Category,Malayalam Name,Base Price,Variants Count,Image URL
"Pentonic","ANG-STA-0751","Pentonic Gel Pen","Gel Pens","പെന്റോണിക് ജെൽ പേന","10","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/pentonic/pentonic_gel_pen.png"
"Pentonic","ANG-STA-0752","Pentonic Ball Pen","Ball Pens","പെന്റോണിക് ബോൾ പേന","10","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/pentonic/pentonic_gel_pen.png"
"Pentonic","ANG-STA-0753","Pentonic Cipher Ball Pen","Ball Pens","പെന്റോണിക് cipher ബോൾ പേന","10","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/pentonic/pentonic_cipher_ball_pen.png"
"Pentonic","ANG-STA-0754","Pentonic GRT Retractable Pen","Ball Pens","പെന്റോണിക് grt റിട്രാക്റ്റബിൾ പേന","20","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/pentonic/pentonic_grt_retractable_pen.png"
"Pentonic","ANG-STA-0755","Pentonic Frost Gel Pen","Gel Pens","പെന്റോണിക് frost ജെൽ പേന","15","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/pentonic/pentonic_frost_gel_pen.png"
"Pentonic","ANG-STA-0756","Pentonic EVO Ball Pen","Ball Pens","പെന്റോണിക് evo ബോൾ പേന","10","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/pentonic/pentonic_evo_ball_pen.png"
"Pentonic","ANG-STA-0757","Pentonic CLR Transparent Pen","Ball Pens","പെന്റോണിക് clr transparent പേന","10","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/pentonic/pentonic_clr_transparent_pen.png"
"Pentonic","ANG-STA-0758","Pentonic GLITZ Pen","Ball Pens","പെന്റോണിക് glitz പേന","20","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/pentonic/pentonic_glitz_pen.png"
"Pentonic","ANG-STA-0759","Pentonic B-RT Retractable Ball Pen","Ball Pens","പെന്റോണിക് b-rt retractable ബോൾ പേന","20","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/pentonic/pentonic_grt_retractable_pen.png"
"Pentonic","ANG-STA-0760","Pentonic B-RT Pastel Edition","Ball Pens","പെന്റോണിക് b-rt pastel edition","20","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/pentonic/pentonic_grt_retractable_pen.png"
"Pentonic","ANG-STA-0761","Pentonic Squad Animal Gel Pen","Gel Pens","പെന്റോണിക് squad animal ജെൽ പേന","15","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/pentonic/pentonic_gel_pen.png"
"Pentonic","ANG-STA-0762","Pentonic GumStik Glue Stick","Crafts & Adhesives","പെന്റോണിക് gumstik ഗ്ലൂ സ്റ്റിക്ക്","25","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/pentonic/pentonic_frost_gel_pen.png"
"Pentonic","ANG-STA-0763","Pentonic Twistick Twist-Up Crayons","Drawing & Colouring","പെന്റോണിക് twistick twist-up crayons","60","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/pentonic/pentonic_glitz_pen.png"
"Pentonic","ANG-STA-0764","Pentonic Mechanical Pencil","Pencils","പെന്റോണിക് mechanical പെൻസിൽ","25","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/pentonic/pentonic_cipher_ball_pen.png"
"Pentonic","ANG-STA-0765","Pentonic Extra Dark Wooden Pencil","Pencils","പെന്റോണിക് extra dark wooden പെൻസിൽ","6","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/pentonic/pentonic_evo_ball_pen.png"
"Pentonic","ANG-STA-0766","Pentonic Mathematical Geometry Box","Mathematical Instruments","പെന്റോണിക് mathematical ജോമെട്രി ബോക്സ്","95","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/pentonic/pentonic_clr_transparent_pen.png"
"Win","ANG-STA-0771","Win Connect Ball Pen","Ball Pens","വിൻ കണക്ട് ബോൾ പേന","10","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/winpens/win_connect_ball_pen.jpg"
"Win","ANG-STA-0772","Win Guide Ball Pen","Ball Pens","വിൻ ഗൈഡ് ബോൾ പേന","10","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/winpens/win_guide_ball_pen.jpg"
"Win","ANG-STA-0773","Win Plush Ball Pen","Ball Pens","വിൻ പ്ലഷ് ബോൾ പേന","10","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/winpens/win_plush_ball_pen.jpg"
"Win","ANG-STA-0774","Win Teamo Ball Pen","Ball Pens","വിൻ ടിയാമോ ബോൾ പേന","10","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/winpens/win_teamo_ball_pen.jpg"
"Win","ANG-STA-0775","Win Aurus Ball Pen","Ball Pens","വിൻ ഓറസ് ബോൾ പേന","10","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/winpens/win_aurus_ball_pen.jpg"
"Win","ANG-STA-0776","Win Cloud Ball Pen","Ball Pens","വിൻ ക്ലൗഡ് ബോൾ പേന","10","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/winpens/win_cloud_ball_pen.jpg"
"Win","ANG-STA-0777","Win Duke Ball Pen","Ball Pens","വിൻ duke ബോൾ പേന","10","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/winpens/win_duke_ball_pen.jpg"
"Win","ANG-STA-0778","Win Jaadu Ball Pen","Ball Pens","വിൻ jaadu ബോൾ പേന","10","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/winpens/win_jaadu_ball_pen.jpg"
