Brand,Code,Name,Category,Malayalam Name,Base Price,Variants Count,Image URL
"Parachute Advansed","ANG-PER-0001","Parachute Advansed Gold Coconut Hair Oil","Hair Care & Hair Oil","പാരഷൂട്ട് അഡ്വാൻസ്ഡ് gold coconut ഹെയർ ഓയിൽ","115","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/parachute/parachute_advansed_gold_coconut_hair_oil.jpg"
"Parachute Advansed","ANG-PER-0002","Parachute Advansed Aloe Vera Enriched Coconut Hair Oil","Hair Care & Hair Oil","പാരഷൂട്ട് അഡ്വാൻസ്ഡ് കറ്റാർവാഴ enriched coconut ഹെയർ ഓയിൽ","120","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/parachute/parachute_advansed_aloe_vera_enriched_coconut_hair_oil.jpg"
"Parachute Advansed","ANG-PER-0003","Parachute Advansed Jasmine Coconut Hair Oil","Hair Care & Hair Oil","പാരഷൂട്ട് അഡ്വാൻസ്ഡ് മുല്ലപ്പൂ coconut ഹെയർ ഓയിൽ","90","3","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=90,metadata=none,"https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/parachute/parachute_advansed_gold_coconut_hair_oil.jpg"
"Parachute Advansed","ANG-PER-0004","Parachute Advansed Ayurvedic Coconut Hair Oil","Hair Care & Hair Oil","പാരഷൂട്ട് അഡ്വാൻസ്ഡ് ayurvedic coconut ഹെയർ ഓയിൽ","130","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/parachute/parachute_advansed_ayurvedic_coconut_hair_oil.jpg"
"Parachute Advansed","ANG-PER-0005","Parachute Advansed Onion Enriched Hair Oil","Hair Care & Hair Oil","പാരഷൂട്ട് അഡ്വാൻസ്ഡ് onion enriched ഹെയർ ഓയിൽ","180","2","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=90,metadata=none,"https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/parachute/parachute_advansed_aloe_vera_enriched_coconut_hair_oil.jpg"
"Parachute Advansed","ANG-PER-0006","Parachute Advansed Ayurvedic Hot Hair Oil","Hair Care & Hair Oil","പാരഷൂട്ട് അഡ്വാൻസ്ഡ് ayurvedic hot ഹെയർ ഓയിൽ","125","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/parachute/parachute_advansed_ayurvedic_coconut_hair_oil.jpg"
"Parachute Advansed","ANG-PER-0007","Parachute Advansed Curry Leaves Hair Oil","Hair Care & Hair Oil","പാരഷൂട്ട് അഡ്വാൻസ്ഡ് curry leaves ഹെയർ ഓയിൽ","195","2","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=90,metadata=none,"https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/parachute/parachute_advansed_ayurvedic_coconut_hair_oil.jpg"
"Parachute Advansed","ANG-PER-0008","Parachute Advansed Almond Enriched Coconut Hair Oil","Hair Care & Hair Oil","പാരഷൂട്ട് അഡ്വാൻസ്ഡ് ബദാം enriched coconut ഹെയർ ഓയിൽ","110","2","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=90,metadata=none,"https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/parachute/parachute_advansed_ayurvedic_coconut_hair_oil.jpg"
"Parachute Advansed","ANG-PER-0009","Parachute Advansed Rosemary Enriched Hair Oil","Hair Care & Hair Oil","പാരഷൂട്ട് അഡ്വാൻസ്ഡ് rosemary enriched ഹെയർ ഓയിൽ","220","2","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=90,metadata=none,"https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/parachute/parachute_advansed_aloe_vera_enriched_coconut_hair_oil.jpg"
"Parachute Advansed","ANG-PER-0010","Parachute Advansed Argan Enriched Hair Oil","Hair Care & Hair Oil","പാരഷൂട്ട് അഡ്വാൻസ്ഡ് argan enriched ഹെയർ ഓയിൽ","240","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/parachute/parachute_advansed_aloe_vera_enriched_coconut_hair_oil.jpg"
