Brand,Code,Name,Category,Malayalam Name,Base Price,Variants Count,Image URL
"RKG","ANG-OIL-0170","RKG Agmark Pure Cow Ghee (Tin)","Cooking Essentials","ആർ.കെ.ജി അഗ്മാർക്ക് പശുവിൻ നെയ്യ് (ടിൻ)","40","10","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/demo_rkg_agmark_cow_ghee_tin_1789400108783.webp"
"RKG","ANG-OIL-0171","RKG Agmark Pure Cow Ghee (Jar)","Cooking Essentials","ആർ.കെ.ജി അഗ്മാർക്ക് പശുവിൻ നെയ്യ് (ജാർ)","42","6","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/demo_rkg_agmark_cow_ghee_jar_1789400109916.webp"
"RKG","ANG-OIL-0172","RKG Agmark Pure Cow Ghee (Pouch)","Cooking Essentials","ആർ.കെ.ജി അഗ്മാർക്ക് പശുവിൻ നെയ്യ് (പൗച്ച്)","38","5","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/demo_rkg_agmark_cow_ghee_pouch_1789400110540.webp"
"RKG","ANG-OIL-0173","RKG Agmark Pure Cow Ghee (Can)","Cooking Essentials","ആർ.കെ.ജി അഗ്മാർക്ക് പശുവിൻ നെയ്യ് (കാൻ)","3600","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/demo_rkg_agmark_cow_ghee_can_1789400111067.webp"
"RKG","ANG-OIL-0174","RKG Agmark Pure Cow Ghee (Sachet)","Cooking Essentials","ആർ.കെ.ജി അഗ്മാർക്ക് പശുവിൻ നെയ്യ് സാഷെ","5","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/demo_rkg_agmark_cow_ghee_sachet_1789400111660.webp"
"RKG","ANG-OIL-0175","RKG Pure Buffalo Ghee (Tin)","Cooking Essentials","ആർ.കെ.ജി പ്യുവർ എരുമ നെയ്യ് (ടിൻ)","11000","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/demo_rkg_buffalo_ghee_tin_1789400112160.webp"
"RKG","ANG-OIL-0176","RKG Pure Buffalo Ghee (Jar)","Cooking Essentials","ആർ.കെ.ജി പ്യുവർ എരുമ നെയ്യ് (ജാർ)","160","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/demo_rkg_buffalo_ghee_jar_1789400112669.webp"
"RKG","ANG-OIL-0177","RKG Pure Buffalo Ghee (Sachet)","Cooking Essentials","ആർ.കെ.ജി പ്യുവർ എരുമ നെയ്യ് സാഷെ","10","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/demo_rkg_buffalo_ghee_sachet_1789400113168.webp"
"RKG","ANG-OIL-0178","RKG Special Roasted Cow Ghee (Jar)","Cooking Essentials","ആർ.കെ.ജി റോസ്റ്റഡ് പശുവിൻ നെയ്യ് (ജാർ)","170","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/demo_rkg_roasted_cow_ghee_jar_1789400113882.webp"
"RKG","ANG-OIL-0179","RKG Thelivu Ghee (Tin)","Cooking Essentials","ആർ.കെ.ജി തെളിവ് നെയ്യ് (ടിൻ)","3800","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/demo_rkg_thelivu_ghee_tin_1789400114374.webp"
"Dalda","ANG-OIL-0011","Dalda Vanaspati Ghee (1L Pack / Pouch)","Cooking Essentials","ഡാൽഡ വനസ്പതി നെയ്യ് (1 ലിറ്റർ പൗച്ച്)","171","5","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/demos/demo_dalda_vanaspati_ghee_1l_1789400114983.jpg"
