Product Name,Category,Code,Malayalam Name,Variants,Selling Price,Original Price (MRP),Image URL
"Skei Blueberry Ice Cream (Tub)","Desserts & Ice Creams","ANG-DES-0201","സ്കീ ബ്ലൂബെറി ഐസ് ക്രീം ടബ്ബ്","500 ml; 1 L","₹140; ₹250","₹140; ₹250","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/1l-02.jpg"
"Skei Chocolate Ice Cream (Tub)","Desserts & Ice Creams","ANG-DES-0202","സ്കീ ചോക്ലേറ്റ് ഐസ് ക്രീം ടബ്ബ്","500 ml; 1 L","₹140; ₹250","₹140; ₹250","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/1l-14.jpg"
"Skei Cookies & Cream Ice Cream (Tub)","Desserts & Ice Creams","ANG-DES-0203","സ്കീ കുക്കീസ് & ക്രീം ഐസ് ക്രീം ടബ്ബ്","500 ml; 1 L","₹140; ₹250","₹140; ₹250","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/1l-04.jpg"
"Skei Jackfruit Ice Cream (Tub)","Desserts & Ice Creams","ANG-DES-0204","സ്കീ ചക്ക (ജാക്ക്ഫ്രൂട്ട്) ഐസ് ക്രീം ടബ്ബ്","500 ml; 1 L","₹140; ₹250","₹140; ₹250","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/1l-05.jpg"
"Skei Mango Alphonso Ice Cream (Tub)","Desserts & Ice Creams","ANG-DES-0205","സ്കീ മാംഗോ അൽഫോൻസോ ഐസ് ക്രീം ടബ്ബ്","500 ml; 1 L","₹140; ₹250","₹140; ₹250","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/1l-01.jpg"
"Skei Nut Butterscotch Ice Cream (Tub)","Desserts & Ice Creams","ANG-DES-0206","സ്കീ Nut ബട്ടർസ്കോച്ച് ഐസ് ക്രീം ടബ്ബ്","500 ml; 1 L","₹140; ₹250","₹140; ₹250","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/1l-06.jpg"
"Skei Pista Ice Cream (Tub)","Desserts & Ice Creams","ANG-DES-0207","സ്കീ പിസ്ത ഐസ് ക്രീം ടബ്ബ്","500 ml; 1 L","₹140; ₹250","₹140; ₹250","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/1l-07.jpg"
"Skei Rajbhog Ice Cream (Tub)","Desserts & Ice Creams","ANG-DES-0208","സ്കീ രാജ്ഭോഗ് ഐസ് ക്രീം ടബ്ബ്","125 ml; 500 ml; 1 L","₹45; ₹160; ₹280","₹45; ₹160; ₹280","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/1l-08.jpg"
"Skei Red Velvet Ice Cream (Tub)","Desserts & Ice Creams","ANG-DES-0209","സ്കീ റെഡ് വെൽവെറ്റ് ഐസ് ക്രീം ടബ്ബ്","125 ml; 500 ml; 1 L","₹45; ₹160; ₹280","₹45; ₹160; ₹280","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/1l-09.jpg"
"Skei Spanish Delight Ice Cream (Tub)","Desserts & Ice Creams","ANG-DES-0210","സ്കീ സ്പാനിഷ് ഡിലൈറ്റ് ഐസ് ക്രീം ടബ്ബ്","125 ml; 500 ml; 1 L","₹45; ₹160; ₹280","₹45; ₹160; ₹280","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/1l-10.jpg"
"Skei Strawberry Ice Cream (Tub)","Desserts & Ice Creams","ANG-DES-0211","സ്കീ സ്ട്രോബെറി ഐസ് ക്രീം ടബ്ബ്","500 ml; 1 L","₹140; ₹250","₹140; ₹250","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/1l-11.jpg"
"Skei Tender Coconut Ice Cream (Tub)","Desserts & Ice Creams","ANG-DES-0212","സ്കീ ഇളനീർ (ടെൻഡർ കോക്കനട്ട്) ഐസ് ക്രീം ടബ്ബ്","125 ml; 500 ml; 1 L","₹45; ₹160; ₹280","₹45; ₹160; ₹280","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/1l-12.jpg"
"Skei Vanilla Ice Cream (Tub)","Desserts & Ice Creams","ANG-DES-0213","സ്കീ വാനില ഐസ് ക്രീം ടബ്ബ്","500 ml; 1 L","₹140; ₹250","₹140; ₹250","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/1l-13.jpg"
"Skei Black Current Ice Cream (Cone)","Desserts & Ice Creams","ANG-DES-0214","സ്കീ ബ്ലാക്ക് കറന്റ് ഐസ് ക്രീം കോൺ","120 ml","₹45","₹45","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/cones-01.jpg"
"Skei Butterscotch Ice Cream (Cone)","Desserts & Ice Creams","ANG-DES-0215","സ്കീ ബട്ടർസ്കോച്ച് ഐസ് ക്രീം കോൺ","120 ml","₹45","₹45","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/cones-05.jpg"
"Skei Chocolate Ice Cream (Cone)","Desserts & Ice Creams","ANG-DES-0216","സ്കീ ചോക്ലേറ്റ് ഐസ് ക്രീം കോൺ","120 ml","₹45","₹45","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/cones-06.jpg"
"Skei Coneic Chocolate Ice Cream (Cone)","Desserts & Ice Creams","ANG-DES-0217","സ്കീ കോണിക് ചോക്ലേറ്റ് ഐസ് ക്രീം കോൺ","120 ml","₹45","₹45","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/cones-10.jpg"
"Skei Cookies & Cream Ice Cream (Cone)","Desserts & Ice Creams","ANG-DES-0218","സ്കീ കുക്കീസ് & ക്രീം ഐസ് ക്രീം കോൺ","120 ml","₹45","₹45","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/cones-03.jpg"
"Skei Pista Ice Cream (Cone)","Desserts & Ice Creams","ANG-DES-0219","സ്കീ പിസ്ത ഐസ് ക്രീം കോൺ","120 ml","₹45","₹45","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/cones-12.jpg"
"Skei Vanilla Ice Cream (Cone)","Desserts & Ice Creams","ANG-DES-0220","സ്കീ വാനില ഐസ് ക്രീം കോൺ","120 ml","₹45","₹45","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/cones-07.jpg"
"Skei Arabian Fiesta Ice Cream (Cone)","Desserts & Ice Creams","ANG-DES-0221","സ്കീ അറേബ്യൻ ഫിയെസ്റ്റ ഐസ് ക്രീം കോൺ","120 ml","₹45","₹45","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/cones-11.jpg"
"Skei Fun Cone Chocolate Ice Cream (Cone)","Desserts & Ice Creams","ANG-DES-0222","സ്കീ ഫൺ കോൺ ചോക്ലേറ്റ് ഐസ് ക്രീം കോൺ","120 ml","₹45","₹45","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/cones-09.jpg"
"Skei Fun Cone Ice Cream (Cone)","Desserts & Ice Creams","ANG-DES-0223","സ്കീ ഫൺ കോൺ ഐസ് ക്രീം കോൺ","120 ml","₹45","₹45","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/cones-08.jpg"
"Skei Cup Chocolate Ice Cream (Cup)","Desserts & Ice Creams","ANG-DES-0224","സ്കീ കപ്പ് ചോക്ലേറ്റ് ഐസ് ക്രീം കപ്പ്","100 ml","₹30","₹30","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/cups-01.jpg"
"Skei Cup Pista Ice Cream (Cup)","Desserts & Ice Creams","ANG-DES-0225","സ്കീ കപ്പ് പിസ്ത ഐസ് ക്രീം കപ്പ്","100 ml","₹30","₹30","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/cups-04.jpg"
