Brand,Code,Name,Category,Malayalam Name,Base Price,Variants Count,Image URL
"Papergrid","ANG-STA-1001","Papergrid Spiral Ruled","Student Notebooks","പേപ്പർഗ്രിഡ് spiral ruled","78","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/papergrid/papergrid_spiral_ruled.jpg"
"Papergrid","ANG-STA-1002","Papergrid Wiro Ruled","Student Notebooks","പേപ്പർഗ്രിഡ് wiro ruled","78","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/papergrid/papergrid_spiral_ruled.jpg"
"Papergrid","ANG-STA-1003","Papergrid King 24 x 18 cm Soft Cover","Student Notebooks","പേപ്പർഗ്രിഡ് king 24 x 18 cm സോഫ്റ്റ് കവർ","252","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/papergrid/papergrid_king_24_x_18_cm_soft_cover.jpg"
"Papergrid","ANG-STA-1004","Papergrid Short 19 x 15.5 cm Hard Cover","Student Notebooks","പേപ്പർഗ്രിഡ് short 19 x 15.5 cm ഹാർഡ് കവർ","252","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/papergrid/papergrid_king_24_x_18_cm_soft_cover.jpg"
"Papergrid","ANG-STA-1005","Papergrid Practical Notebook","Student Notebooks","പേപ്പർഗ്രിഡ് practical നോട്ട്ബുക്ക്","500","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/papergrid/papergrid_practical_notebook.jpg"
"Papergrid","ANG-STA-1006","Papergrid Graph Notebook","Student Notebooks","പേപ്പർഗ്രിഡ് graph നോട്ട്ബുക്ക്","500","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/papergrid/papergrid_practical_notebook.jpg"
"Papergrid","ANG-STA-1007","Papergrid Drawing Notebook","Student Notebooks","പേപ്പർഗ്രിഡ് drawing നോട്ട്ബുക്ക്","200","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/papergrid/papergrid_practical_notebook.jpg"
"Papergrid","ANG-STA-1008","Papergrid Short 19 x 15.5 cm","Student Notebooks","പേപ്പർഗ്രിഡ് short 19 x 15.5 cm","200","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/papergrid/papergrid_short_19_x_15_5_cm.jpg"
"Papergrid","ANG-STA-1009","Papergrid King 24 x 18 cm","Student Notebooks","പേപ്പർഗ്രിഡ് king 24 x 18 cm","300","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/papergrid/papergrid_short_19_x_15_5_cm.jpg"
"Papergrid","ANG-STA-1010","Papergrid Cut 27.2 x 16.7 cm","Student Notebooks","പേപ്പർഗ്രിഡ് cut 27.2 x 16.7 cm","300","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/papergrid/papergrid_short_19_x_15_5_cm.jpg"
"Papergrid","ANG-STA-1011","Papergrid A4 29.7 x 21 cm","Student Notebooks","പേപ്പർഗ്രിഡ് a4 29.7 x 21 cm","361","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/papergrid/papergrid_short_19_x_15_5_cm.jpg"
"Papergrid","ANG-STA-1012","Papergrid Long 31 x 19 cm","Student Notebooks","പേപ്പർഗ്രിഡ് long 31 x 19 cm","408","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/papergrid/papergrid_short_19_x_15_5_cm.jpg"
"Papergrid","ANG-STA-1013","Papergrid Ultra Long 33 x 21 cm","Student Notebooks","പേപ്പർഗ്രിഡ് ultra long 33 x 21 cm","406","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/papergrid/papergrid_short_19_x_15_5_cm.jpg"
"Camlin","ANG-STA-1014","Camlin Supreme Pencils","Writing Pencils","ക്യാംലിൻ supreme pencils","8","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_supreme_pencils.jpg"
"Camlin","ANG-STA-1015","Camlin Supreme HD Pencils","Writing Pencils","ക്യാംലിൻ supreme hd pencils","8","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_supreme_hd_pencils.JPG"
"Camlin","ANG-STA-1016","Camlin Nova Glowing Pencils","Writing Pencils","ക്യാംലിൻ nova glowing pencils","8","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_nova_glowing_pencils.JPG"
"Camlin","ANG-STA-1017","Camlin Blak Pencils","Writing Pencils","ക്യാംലിൻ blak pencils","8","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_blak_pencils.JPG"
"Camlin","ANG-STA-1018","Camlin Drawing Pencils","Writing Pencils","ക്യാംലിൻ ഡ്രോയിംഗ് പെൻസിലുകൾ","8","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_drawing_pencils.JPG"
"Camlin","ANG-STA-1019","Camlin Half Size","Writing Pencils","ക്യാംലിൻ half size","8","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_half_size.jpg"
"Camlin","ANG-STA-1020","Camlin Full Size","Writing Pencils","ക്യാംലിൻ full size","8","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_full_size.jpg"
"Camlin","ANG-STA-1021","Camlin HD Colour Pencils","Writing Pencils","ക്യാംലിൻ hd colour pencils","8","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_hd_colour_pencils.jpg"
"Camlin","ANG-STA-1022","Camlin Assorted packs","Writing Pencils","ക്യാംലിൻ assorted packs","8","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_assorted_packs.JPG"
"Camlin","ANG-STA-1023","Camlin Grip Pro Mechanical Pencil","Writing Pencils","ക്യാംലിൻ grip pro mechanical pencil","8","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_grip_pro_mechanical_pencil.jpg"
"Camlin","ANG-STA-1024","Camlin GripMax Mechanical Pencils","Writing Pencils","ക്യാംലിൻ gripmax mechanical pencils","8","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_gripmax_mechanical_pencils.JPG"
"Camlin","ANG-STA-1025","Camlin Klick Mechanical Pencils","Writing Pencils","ക്യാംലിൻ klick mechanical pencils","8","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_klick_mechanical_pencils.JPG"
"Camlin","ANG-STA-1026","Camlin 2 mm Mechanical Pencils","Writing Pencils","ക്യാംലിൻ 2 mm mechanical pencils","8","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_2_mm_mechanical_pencils.JPG"
"Camlin","ANG-STA-1027","Camlin 3-in-1 Mechanical Pencils Pack","Writing Pencils","ക്യാംലിൻ 3-in-1 mechanical pencils pack","8","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_3_in_1_mechanical_pencils_pack.JPG"
"Camlin","ANG-STA-1028","Camlin 0.5 mm Mechanical Pencil Leads","Writing Pencils","ക്യാംലിൻ 0.5 mm mechanical pencil leads","8","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_0_5_mm_mechanical_pencil_leads.JPG"
"Camlin","ANG-STA-1029","Camlin 0.7 mm Mechanical Pencil Leads","Writing Pencils","ക്യാംലിൻ 0.7 mm mechanical pencil leads","8","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_0_7_mm_mechanical_pencil_leads.JPG"
"Camlin","ANG-STA-1030","Camlin 0.9 mm Mechanical Pencil Leads","Writing Pencils","ക്യാംലിൻ 0.9 mm mechanical pencil leads","8","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_0_9_mm_mechanical_pencil_leads.JPG"
"Camlin","ANG-STA-1031","Camlin 2.0 mm Mechanical Pencil Leads","Writing Pencils","ക്യാംലിൻ 2.0 mm mechanical pencil leads","8","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_2_0_mm_mechanical_pencil_leads.JPG"
"Camlin","ANG-STA-1032","Camlin All Clear Erasers","Writing Pencils","ക്യാംലിൻ all clear erasers","8","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_all_clear_erasers.JPG"
"Camlin","ANG-STA-1033","Camlin Supreme XL All Clear Eraser","Writing Pencils","ക്യാംലിൻ supreme xl all clear ഇറേസർ","8","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_supreme_xl_all_clear_eraser.JPG"
"Camlin","ANG-STA-1034","Camlin Spin Eraser","Writing Pencils","ക്യാംലിൻ spin ഇറേസർ","8","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_spin_eraser.jpg"
"Camlin","ANG-STA-1035","Camlin Sharpeners","Writing Pencils","ക്യാംലിൻ sharpeners","8","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_sharpeners.JPG"
"Camlin","ANG-STA-1036","Camlin Supreme Long Point Sharpeners","Writing Pencils","ക്യാംലിൻ supreme long point sharpeners","8","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_supreme_long_point_sharpeners.JPG"
"Camlin","ANG-STA-1037","Camlin Sharpz","Writing Pencils","ക്യാംലിൻ sharpz","8","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_sharpz.jpg"
"Camlin","ANG-STA-1038","Camlin Twinz Eraser-Sharpener Combo","Writing Pencils","ക്യാംലിൻ twinz ഇറേസർ-ഷാർപ്നർ combo","8","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_twinz_eraser_sharpener_combo.JPG"
"Camlin","ANG-STA-1039","Camlin Writing Kit","Writing Pencils","ക്യാംലിൻ writing kit","8","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_writing_kit.JPG"
"Camlin","ANG-STA-1040","Camlin Transparent Clipboard","Writing Pencils","ക്യാംലിൻ transparent clipboard","8","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_transparent_clipboard.JPG"
"Camlin","ANG-STA-1041","Camlin Exam Clipboard","Writing Pencils","ക്യാംലിൻ exam clipboard","8","3","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_exam_clipboard.JPG"
"Camlin","ANG-STA-1042","Camlin Nexx Fountain Pen","Fountain Pens & Inks","ക്യാംലിൻ nexx ഫൗണ്ടൻ പേന","30","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_supreme_pencils.jpg"
"Camlin","ANG-STA-1043","Camlin Cartridge Whiteboard Marker","Fountain Pens & Inks","ക്യാംലിൻ cartridge whiteboard marker","30","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_cartridge_whiteboard_marker.jpg"
"Camlin","ANG-STA-1044","Camlin Whiteboard Marker Refill Cartridge","Fountain Pens & Inks","ക്യാംലിൻ whiteboard marker refill cartridge","30","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_whiteboard_marker_refill_cartridge.jpg"
"Camlin","ANG-STA-1045","Camlin Whiteboard Markers","Fountain Pens & Inks","ക്യാംലിൻ whiteboard markers","30","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_whiteboard_markers.JPG"
"Camlin","ANG-STA-1046","Camlin Bold-E Whiteboard Markers","Fountain Pens & Inks","ക്യാംലിൻ bold-e whiteboard markers","30","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_bold_e_whiteboard_markers.JPG"
"Camlin","ANG-STA-1047","Camlin Whiteboard Marker Ink - Red","Fountain Pens & Inks","ക്യാംലിൻ whiteboard മാർക്കർ മഷി - red","30","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_whiteboard_marker_ink_red.JPG"
"Camlin","ANG-STA-1048","Camlin Whiteboard Marker Ink - Green","Fountain Pens & Inks","ക്യാംലിൻ whiteboard മാർക്കർ മഷി - green","30","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_whiteboard_marker_ink_green.JPG"
"Camlin","ANG-STA-1049","Camlin Whiteboard Marker Ink - Blue","Fountain Pens & Inks","ക്യാംലിൻ whiteboard മാർക്കർ മഷി - blue","30","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_whiteboard_marker_ink_blue.JPG"
"Camlin","ANG-STA-1050","Camlin Whiteboard Marker Ink - Black","Fountain Pens & Inks","ക്യാംലിൻ whiteboard മാർക്കർ മഷി - black","30","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_whiteboard_marker_ink_black.JPG"
"Camlin","ANG-STA-1051","Camlin Permanent Markers","Fountain Pens & Inks","ക്യാംലിൻ permanent markers","30","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_permanent_markers.JPG"
"Camlin","ANG-STA-1052","Camlin Bold-E Permanent Markers","Fountain Pens & Inks","ക്യാംലിൻ bold-e permanent markers","30","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_bold_e_permanent_markers.JPG"
"Camlin","ANG-STA-1053","Camlin Permanent Marker Ink - Red","Fountain Pens & Inks","ക്യാംലിൻ permanent മാർക്കർ മഷി - red","30","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_permanent_marker_ink_red.JPG"
"Camlin","ANG-STA-1054","Camlin Permanent Marker Ink - Green","Fountain Pens & Inks","ക്യാംലിൻ permanent മാർക്കർ മഷി - green","30","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_permanent_marker_ink_green.JPG"
"Camlin","ANG-STA-1055","Camlin Permanent Marker Ink - Blue","Fountain Pens & Inks","ക്യാംലിൻ permanent മാർക്കർ മഷി - blue","30","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_permanent_marker_ink_blue.JPG"
"Camlin","ANG-STA-1056","Camlin Permanent Marker Ink - Black","Fountain Pens & Inks","ക്യാംലിൻ permanent മാർക്കർ മഷി - black","30","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_permanent_marker_ink_black.JPG"
"Camlin","ANG-STA-1057","Camlin Fine Tip Permanent Markers","Fountain Pens & Inks","ക്യാംലിൻ fine tip permanent markers","30","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_fine_tip_permanent_markers.JPG"
"Camlin","ANG-STA-1058","Camlin Individual shades","Fountain Pens & Inks","ക്യാംലിൻ individual shades","30","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_individual_shades.JPG"
"Camlin","ANG-STA-1059","Camlin Slim Correction Pen","Fountain Pens & Inks","ക്യാംലിൻ slim correction പേന","30","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_slim_correction_pen.JPG"
"Camlin","ANG-STA-1060","Camlin Cover-It Correction Pen","Fountain Pens & Inks","ക്യാംലിൻ cover-it correction പേന","30","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_cover_it_correction_pen.jpg"
"Camlin","ANG-STA-1061","Camlin Individual bottles","Fountain Pens & Inks","ക്യാംലിൻ individual bottles","30","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_individual_bottles.JPG"
"Camlin","ANG-STA-1062","Camlin A5 Notebook","Student Notebooks","ക്യാംലിൻ a5 നോട്ട്ബുക്ക്","45","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_supreme_pencils.jpg"
"Camlin","ANG-STA-1063","Camlin Jumbo A5 Notebook","Student Notebooks","ക്യാംലിൻ jumbo a5 നോട്ട്ബുക്ക്","45","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_jumbo_a5_notebook.jpg"
"Camlin","ANG-STA-1064","Camlin Small A5 Notebook","Student Notebooks","ക്യാംലിൻ small a5 നോട്ട്ബുക്ക്","45","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_small_a5_notebook.jpg"
"Camlin","ANG-STA-1065","Camlin A4 Notebook","Student Notebooks","ക്യാംലിൻ a4 നോട്ട്ബുക്ക്","45","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_a4_notebook.jpg"
"Camlin","ANG-STA-1066","Camlin Long Notebook","Student Notebooks","ക്യാംലിൻ long നോട്ട്ബുക്ക്","45","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_long_notebook.jpg"
"Camlin","ANG-STA-1067","Camlin Ultra Long Notebook","Student Notebooks","ക്യാംലിൻ ultra long നോട്ട്ബുക്ക്","45","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_ultra_long_notebook.jpg"
"Camlin","ANG-STA-1068","Camlin Super Ultra Long Notebook","Student Notebooks","ക്യാംലിൻ super ultra long നോട്ട്ബുക്ക്","45","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_super_ultra_long_notebook.jpg"
"Camlin","ANG-STA-1069","Camlin Premio Optipaper Notebook","Student Notebooks","ക്യാംലിൻ premio optipaper നോട്ട്ബുക്ക്","45","2","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/camlin/camlin_premio_optipaper_notebook.jpg"
