S.No.,Category,Product Name,Description,Quantity,Original Price (MRP),Selling Price,Image URL
1,Milk Products,Elanadu Fresh Cow Milk (Pasteurised),"Pure, nutrient-dense farm-fresh cow milk processed under hygienic cold-chain standards.",500 ml,₹28.00,₹28.00,https://elanadumilk.com/images/products/fresh-cow-milk-500ml.png
2,Milk Products,Elanadu Homogenised Toned Milk,Standardized fresh toned milk with 3.0% fat and 8.5% SNF for daily consumption.,500 ml,₹27.00,₹27.00,https://elanadumilk.com/images/products/toned-milk-500ml.png
3,Milk Products,Elanadu Homogenised Toned Milk,Value family pack of standardized farm-fresh homogenized toned milk.,1 Litre,₹54.00,₹54.00,https://elanadumilk.com/images/products/toned-milk-1l.png
4,Milk Products,Elanadu Premium Rich Milk (Full Cream),"Rich, creamy milk with high butterfat content (6.0% Fat), ideal for tea and desserts.",500 ml,₹33.00,₹33.00,https://elanadumilk.com/images/products/rich-milk-500ml.png
5,Milk Products,Elanadu Smart Milk (Double Toned),"Low-fat, health-conscious double toned milk containing 1.5% fat.",500 ml,₹25.00,₹25.00,https://elanadumilk.com/images/products/smart-milk-500ml.png
6,Milk Products,Elanadu Skimmed Milk,Zero-fat milk option packed with milk proteins and calcium.,500 ml,₹23.00,₹23.00,https://elanadumilk.com/images/products/skimmed-milk-500ml.png
7,Milk Products,Elanadu Pride Cow Milk,Fortified high-quality milk rich in essential Vitamin A and D.,500 ml,₹29.00,₹29.00,https://elanadumilk.com/images/products/pride-milk-500ml.png
8,Milk Products,Elanadu UHT Long-Life Toned Milk,Ultra-High Temperature processed milk in aseptic packaging with extended shelf life.,500 ml,₹35.00,₹35.00,https://elanadumilk.com/images/products/uht-longlife-500ml.png
9,Milk Products,Elanadu UHT Long-Life Slim Milk,Aseptic long-life skimmed milk requiring no refrigeration prior to opening.,1 Litre,₹70.00,₹70.00,https://elanadumilk.com/images/products/uht-slim-1l.png
10,Milk Products,Elanadu Golden Turmeric Milk Premix Drink,Healthy pasteurized milk drink infused with natural turmeric extract and spices.,200 ml,₹30.00,₹30.00,https://elanadumilk.com/images/products/golden-milk-200ml.png
11,Milk Products,Elanadu Pure Dairy Cream,Thick fresh cream extracted from pure cow milk for baking and cooking.,200 g,₹75.00,₹75.00,https://elanadumilk.com/images/products/dairy-cream-200g.png
12,Curd & Buttermilk,Elanadu Fresh Toned Milk Curd Sachet,"Thick, naturally fermented curd made from fresh pasteurized toned milk.",500 g,₹35.00,₹35.00,https://elanadumilk.com/images/products/toned-curd-500g.png
13,Curd & Buttermilk,Elanadu Double Toned Low Fat Curd,Light and digestible low-fat curd in hygienic sachet packaging.,500 g,₹32.00,₹32.00,https://elanadumilk.com/images/products/double-toned-curd-500g.png
14,Curd & Buttermilk,Elanadu Skimmed Milk Fat-Free Curd,Zero-fat probiotic curd suited for diet-conscious individuals.,400 g,₹30.00,₹30.00,https://elanadumilk.com/images/products/skimmed-curd-400g.png
15,Curd & Buttermilk,Elanadu Premium Set Curd Tub,"Firm, rich, and creamy set curd prepared in sealed hygienic containers.",400 g,₹45.00,₹45.00,https://elanadumilk.com/images/products/set-curd-400g.png
16,Curd & Buttermilk,Elanadu Kattimoru (Thick Buttermilk),Pure churned thick buttermilk base for digestive drinks and cooking.,500 ml,₹18.00,₹18.00,https://elanadumilk.com/images/products/kattimoru-500ml.png
17,Curd & Buttermilk,Elanadu Traditional Sambharam (Spiced Buttermilk),"Refreshing Kerala style buttermilk flavored with green chilly, ginger, and curry leaves.",200 ml,₹10.00,₹10.00,https://elanadumilk.com/images/products/sambharam-200ml.png
18,Ghee & Butter,Elanadu Pure Cow Ghee Pet Jar,Traditional aromatic golden yellow cow ghee clarified from fresh milk fat.,200 ml,₹160.00,₹160.00,https://elanadumilk.com/images/products/ghee-200ml.png
19,Ghee & Butter,Elanadu Pure Cow Ghee Pet Jar,"Granular, fragrant cow ghee for daily cooking and sweets.",500 ml,₹380.00,₹380.00,https://elanadumilk.com/images/products/ghee-500ml.png
