S.No.,Category,Product Name,Description,Quantity,Original Price (MRP),Selling Price,Image URL
1,Bar Cake,Marble Cake,Delightful marble-textured sponge cake combining rich vanilla and cocoa chocolate batters.,150 g,₹60.00,₹60.00,https://elitefoods.co.in/images/products/marble-bar-cake.jpg
2,Bar Cake,Fruit Bar Cake,Soft bar cake studded with colorful candied fruits and tutti frutti.,150 g,₹65.00,₹65.00,https://elitefoods.co.in/images/products/fruit-bar-cake.jpg
3,Bar Cake,Chocolate Bar Cake,Moist and indulgent chocolate sponge bar cake baked to perfection.,150 g,₹65.00,₹65.00,https://elitefoods.co.in/images/products/chocolate-bar-cake.jpg
4,Bar Cake,Vanilla Bar Cake,"Classic fluffy vanilla bar cake with a sweet, aromatic crumb.",150 g,₹55.00,₹55.00,https://elitefoods.co.in/images/products/vanilla-bar-cake.jpg
5,Bar Cake,Orange Bar Cake,Tangy and sweet orange flavoured bar cake made with natural citrus notes.,150 g,₹60.00,₹60.00,https://elitefoods.co.in/images/products/orange-bar-cake.jpg
6,Bar Cake,Orange Fruity Cake,Delightful blend of zest orange cake packed with real fruit bits.,150 g,₹65.00,₹65.00,https://elitefoods.co.in/images/products/orange-fruity-cake.jpg
7,Bar Cake,Pineapple Fruity Cake,Tropical pineapple flavoured soft cake loaded with fruit bites.,150 g,₹65.00,₹65.00,https://elitefoods.co.in/images/products/pineapple-fruity-cake.jpg
8,Bar Cake,Orange Chocolate,Irresistible dual combo cake featuring tangy orange and rich chocolate layers.,150 g,₹70.00,₹70.00,https://elitefoods.co.in/images/products/orange-chocolate-cake.jpg
9,Bar Cake,Pineapple Chocolate,Unique fusion bar cake combining juicy pineapple with rich dark cocoa.,150 g,₹70.00,₹70.00,https://elitefoods.co.in/images/products/pineapple-chocolate-cake.jpg
10,Bar Cake,Black Raisin,"Nutritious and delicious cake loaded with sweet, juicy black raisins.",150 g,₹75.00,₹75.00,https://elitefoods.co.in/images/products/black-raisin-cake.jpg
11,Bar Cake,Banana Pudding Cake Sliced,Pre-sliced moist banana pudding bar cake packed with ripe banana pulp flavor.,200 g,₹80.00,₹80.00,https://elitefoods.co.in/images/products/banana-pudding-sliced.jpg
12,Bar Cake,Dates Pudding Cake Sliced,Naturally sweet sliced pudding cake infused with real Arabian dates.,200 g,₹85.00,₹85.00,https://elitefoods.co.in/images/products/dates-pudding-sliced.jpg
13,Bar Cake,Jack fruit Pudding Cake Sliced,"Authentic Kerala special jackfruit preserve pudding cake, neatly sliced.",200 g,₹85.00,₹85.00,https://elitefoods.co.in/images/products/jackfruit-pudding-sliced.jpg
14,Bar Cake,Carrot Pudding Cake Sliced,"Moist, spiced carrot pudding sliced cake made with fresh grated carrots.",200 g,₹80.00,₹80.00,https://elitefoods.co.in/images/products/carrot-pudding-sliced.jpg
15,Cup Cake,Centoz Sweet Heart Strawberry,Soft strawberry filled centerpiece cupcake with a sweet liquid heart.,30 g,₹10.00,₹10.00,https://elitefoods.co.in/images/products/centoz-sweet-heart-strawberry.jpg
16,Cup Cake,Choco Cupcake,Indulgent single-serve chocolate cupcake topped with rich chocolate aroma.,30 g,₹10.00,₹10.00,https://elitefoods.co.in/images/products/choco-cupcake.jpg
17,Cup Cake,Butter Cup Cake,Rich buttery single cup cake baked to golden perfection.,30 g,₹10.00,₹10.00,https://elitefoods.co.in/images/products/butter-cupcake.jpg
18,Cup Cake,Strawberry Cup Cake,Sweet strawberry flavoured individual cupcake.,30 g,₹10.00,₹10.00,https://elitefoods.co.in/images/products/strawberry-cupcake.jpg
19,Cup Cake,Choco Cup Cake 6 in 1,Family multipack containing 6 soft and moist chocolate cupcakes.,180 g,₹60.00,₹60.00,https://elitefoods.co.in/images/products/choco-cupcake-6in1.jpg
20,Cup Cake,Butter Cup Cake 6 in 1,Value multipack containing 6 golden butter cupcakes.,180 g,₹60.00,₹60.00,https://elitefoods.co.in/images/products/butter-cupcake-6in1.jpg
21,Cup Cake,Carrot Pudding 6 in 1,Pack of 6 bite-sized carrot pudding cupcakes.,180 g,₹65.00,₹65.00,https://elitefoods.co.in/images/products/carrot-pudding-6in1.jpg
