Category,Product Name,Description,Quantity,Original Price (MRP),Selling Price,Status,Image URL
Straight Spices,Eastern Turmeric Powder,"Vibrant, high-curcumin haldi for daily cooking.",100 g,₹50,₹35,In Stock,https://instamart-media.swiggy.com/eastern-turmeric-100g.jpg
Straight Spices,Eastern Turmeric Powder,Bright yellow haldi powder in a larger bulk pack.,250 g,₹125,₹87,In Stock,https://instamart-media.swiggy.com/eastern-turmeric-250g.jpg
Straight Spices,Eastern Chilli Powder,Authentic and spicy red chilli powder for rich hot flavor.,100 g,₹50,₹34,In Stock,https://instamart-media.swiggy.com/eastern-chilli-100g.jpg
Straight Spices,Eastern Chilli Powder,Hot spicy red chilli powder for regular gravy dishes.,250 g,₹140,₹86,Out of Stock,https://instamart-media.swiggy.com/eastern-chilli-250g.jpg
Straight Spices,Eastern Kashmiri Chilly Powder,Mild heat with a rich red color for gravies and marinades.,100 g,₹120,₹77,Out of Stock,https://instamart-media.swiggy.com/eastern-kashmiri-chilly-100g.jpg
Straight Spices,Eastern Kashmiri Chilly Powder,Mild heat with a deep red color for gravies and curries.,250 g,₹295,₹171,In Stock,https://instamart-media.swiggy.com/eastern-kashmiri-chilly-250g.jpg
Straight Spices,Eastern Coriander Powder,Pure ground dhania seeds for flavor enhancement.,250 g,₹154,₹108,In Stock,https://instamart-media.swiggy.com/eastern-coriander-250g.jpg
Straight Spices,Eastern Coriander Powder,Ground coriander powder in bulk economy pack.,500 g,₹255,₹166,Out of Stock,https://instamart-media.swiggy.com/eastern-coriander-500g.jpg
Straight Spices,Eastern Cumin / Jeera Powder,Ground roasted cumin seeds with a strong earthy aroma.,100 g,₹85,₹64,In Stock,https://instamart-media.swiggy.com/eastern-cumin-100g.jpg
Straight Spices,Eastern Asafoetida Powder,Aromatic hing powder essential for South Indian tempering.,50 g,₹80,₹67,In Stock,https://instamart-media.swiggy.com/eastern-asafoetida-50g.jpg
Straight Spices,Eastern Black Pepper Powder,Coarsely ground black pepper for seasoning and soups.,100 g,₹135,₹110,Out of Stock,https://instamart-media.swiggy.com/eastern-pepper-100g.jpg
