S.No.,Category,Product Name,Description,Quantity,Original Price (MRP),Selling Price,Image URL
1,Milk & UHT,Milma Homogenised Toned Milk,"Fresh, pasteurized, and homogenized cow milk with 3.0% fat and 8.5% SNF.",500 ml,₹28.00,₹28.00,https://milma.com/uploads/products/toned-milk-500ml.png
2,Milk & UHT,Milma Smart (Double Toned Milk),"Low-fat, nutrient-rich pasteurized double toned milk for healthy daily diet.",500 ml,₹25.00,₹25.00,https://milma.com/uploads/products/milma-smart-500ml.png
3,Milk & UHT,Milma Rich (Full Cream Milk),"High-fat full cream milk ideal for rich tea, coffee, desserts, and curries.",500 ml,₹32.00,₹32.00,https://milma.com/uploads/products/milma-rich-500ml.png
4,Milk & UHT,Milma Lite UHT Long-Life Milk,UHT processed double toned milk with 90 days shelf life without refrigeration.,500 ml,₹35.00,₹35.00,https://milma.com/uploads/products/uht-lite-500ml.png
5,Milk & UHT,Milma Pride Milk,Fortified with Vitamin A and D containing 3.2% fat and 8.5% SNF.,500 ml,₹28.00,₹28.00,https://milma.com/uploads/products/milma-pride-500ml.png
6,Ghee & Butter,Milma Cow Ghee Jar,Pure golden cow ghee made directly from fresh cream with natural aroma.,100 ml,₹81.00,₹81.00,https://milma.com/uploads/products/ghee-100ml.png
7,Ghee & Butter,Milma Pure Ghee Pet Jar,"100% pure milk fat ghee, traditional aromatic golden yellow cow ghee.",500 ml,₹377.00,₹377.00,https://milma.com/uploads/products/ghee-500ml.png
8,Ghee & Butter,Milma Cow Ghee Tin,Bulk packaging pure cow ghee for household and commercial cooking.,1 Litre,₹730.00,₹730.00,https://milma.com/uploads/products/ghee-1l.png
9,Ghee & Butter,Milma Fresh Pasteurised Table Butter,Salted pasteurized butter made from pure cow milk cream.,100 g,₹58.00,₹58.00,https://milma.com/uploads/products/butter-100g.png
10,Ghee & Butter,Milma Cooking Butter (Unsalted),"Unsalted pure butter suitable for baking, sweets, and ghee preparation.",500 g,₹270.00,₹270.00,https://milma.com/uploads/products/unsalted-butter-500g.png
11,Curd & Fermented,Milma Toned Milk Curd Sachet,"Thick, creamy, naturally fermented curd in hygienic sachet packaging.",500 g,₹35.00,₹35.00,https://milma.com/uploads/products/curd-500g.png
12,Curd & Fermented,Milma Set Curd Tub,Firm set curd prepared under controlled hygienic culture conditions.,400 g,₹45.00,₹45.00,https://milma.com/uploads/products/set-curd-400g.png
13,Curd & Fermented,Milma Sambharam (Spiced Buttermilk),"Traditional Kerala spiced buttermilk with ginger, green chilly, and curry leaves.",200 ml,₹10.00,₹10.00,https://milma.com/uploads/products/sambharam-200ml.png
14,Curd & Fermented,Milma Kattimoru (Thick Buttermilk),Refreshing thick buttermilk base for cooling drinks and traditional curries.,500 ml,₹18.00,₹18.00,https://milma.com/uploads/products/kattimoru-500ml.png
15,Curd & Fermented,Milma Sweet Lassi Bottle,Sweetened probiotic yogurt drink for instant energy and digestability.,200 ml,₹20.00,₹20.00,https://milma.com/uploads/products/sweet-lassi-200ml.png
16,Curd & Fermented,Milma Mango Lassi,Delicious blend of cultured milk and sweet natural mango pulp.,200 ml,₹25.00,₹25.00,https://milma.com/uploads/products/mango-lassi-200ml.png
17,Sweets & Mixes,Milma Peda,Traditional milk sweet prepared from pure condensed milk solids.,250 g,₹130.00,₹130.00,https://milma.com/uploads/products/milma-peda-250g.png
18,Sweets & Mixes,Milma Instant Palada Payasam Mix,"Ready mix with rice flakes, sugar, and milk solids for quick payasam.",200 g,₹55.00,₹55.00,https://milma.com/uploads/products/palada-mix-200g.png
19,Sweets & Mixes,Milma Canned Gulab Jamun,Soft fried milk dumplings soaked in cardamom flavored sugar syrup.,500 g,₹140.00,₹140.00,https://milma.com/uploads/products/gulab-jamun-500g.png
20,Sweets & Mixes,Milma Golden Mix (Immunity Drink Blend),Turmeric curcumin milk blend premix designed for immunity boosting.,200 g,₹110.00,₹110.00,https://milma.com/uploads/products/golden-mix-200g.png
21,Ice Creams,Milma Vanilla Ice Cream Tub,Real dairy ice cream made from 100% pure fresh milk cream.,1000 ml,₹150.00,₹150.00,https://milma.com/uploads/products/vanilla-1000ml.png
22,Ice Creams,Milma Butterscotch Tub,Rich butterscotch flavored ice cream loaded with crunchy cashew praline.,1000 ml,₹280.00,₹280.00,https://milma.com/uploads/products/butterscotch-1000ml.png
23,Ice Creams,Milma Choco Bar,Vanilla ice cream bar coated with a thick crunchy chocolate layer.,60 ml,₹30.00,₹30.00,https://milma.com/uploads/products/chocobar-60ml.png
24,Ice Creams,Milma Blueberry IML Tub,Premium fruit flavored real milk ice cream in reusable tub.,500 ml,₹180.00,₹180.00,https://milma.com/uploads/products/blueberry-500ml.png
25,Beverages,Milma Flavoured Flavoured Milk (Chocolate/Pista/Badam),Sterilized homogenized flavoured milk beverage packed in glass bottles.,200 ml,₹30.00,₹30.00,https://milma.com/uploads/products/flavoured-milk-200ml.png
