S.No.,Category,Product Name,Description,Quantity,Original Price (MRP),Selling Price,Image URL
1,Masala,Supernova Biriyani Masala,Fragrant spice blend curated for authentic South Indian chicken and mutton biryani.,100 g,₹74.00,₹72.00,https://supernovafoods.in/wp-content/uploads/biriyani-masala-100g.jpg
2,Spices,Supernova Black Pepper Powder,Pure ground black pepper powder with intense aroma and sharp spiciness.,100 g,₹138.00,₹130.00,https://supernovafoods.in/wp-content/uploads/black-pepper-100g.jpg
3,Masala,Supernova Broast Powder,Seasoned crispy coating mix for preparing hot and crunchy fried broast chicken.,100 g,₹49.00,₹48.00,https://supernovafoods.in/wp-content/uploads/broast-powder-100g.jpg
4,Masala,Supernova Chaat Masala,"Tangy and savory spice seasoning mix for snacks, fruits, and street food.",100 g,₹63.00,₹60.00,https://supernovafoods.in/wp-content/uploads/chaat-masala-100g.jpg
5,Masala,Supernova Chicken Fry Masala,Traditional Kerala-style marination mix for crispy spicy chicken fry.,100 g,₹67.50,₹66.00,https://supernovafoods.in/wp-content/uploads/chicken-fry-masala-100g.jpg
6,Masala,Supernova Chicken Masala,Rich aromatic spice powder mix for everyday chicken gravies and curries.,100 g,₹65.00,₹64.00,https://supernovafoods.in/wp-content/uploads/chicken-masala-100g.jpg
7,Spices,Supernova Chilly Powder,Fine ground red chilly powder for bold heat and vibrant red curry color.,100 g,₹42.00,₹41.00,https://supernovafoods.in/wp-content/uploads/chilly-powder-100g.jpg
8,Spices,Supernova Chilly Powder,Economy bulk pack of pure red chilly powder for daily cooking.,250 g,₹104.50,₹103.00,https://supernovafoods.in/wp-content/uploads/chilly-powder-250g.jpg
9,Spices,Supernova Chilly Powder,Medium bulk pack of high quality spicy red chilly powder.,500 g,₹208.00,₹205.00,https://supernovafoods.in/wp-content/uploads/chilly-powder-500g.jpg
10,Spices,Supernova Chilly Powder,Large 1kg family savings pack of pure red chilly powder.,1 kg,₹412.00,₹404.00,https://supernovafoods.in/wp-content/uploads/chilly-powder-1kg.jpg
11,Spices,Supernova Compounded Asafoetida,"Aromatic solid hing block used for tempering sambar, rasam, and curries.",50 g,₹76.00,₹76.00,https://supernovafoods.in/wp-content/uploads/asafoetida-50g.jpg
12,Spices,Supernova Compounded Asafoetida Powder,Fine ground hing powder for quick dissolving and rich aroma.,50 g,₹80.50,₹80.50,https://supernovafoods.in/wp-content/uploads/asafoetida-powder-50g.jpg
13,Spices,Supernova Coriander Powder,Freshly ground dhania seeds to thicken and flavor curries.,100 g,₹36.50,₹36.50,https://supernovafoods.in/wp-content/uploads/coriander-powder-100g.jpg
14,Spices,Supernova Coriander Powder,Pure ground coriander powder in medium 250g pack.,250 g,₹91.00,₹91.00,https://supernovafoods.in/wp-content/uploads/coriander-powder-250g.jpg
15,Spices,Supernova Coriander Powder,Half kilo pack of pure aromatic ground coriander powder.,500 g,₹358.00,₹356.00,https://supernovafoods.in/wp-content/uploads/coriander-powder-500g.jpg
16,Spices,Supernova Coriander Powder,1kg bulk value pack of pure ground coriander powder.,1 kg,₹358.00,₹350.00,https://supernovafoods.in/wp-content/uploads/coriander-powder-1kg.jpg
